# distance SDV3 SDV4
0.00000000e+00 6.62012434e+00 -8.44439125e+00
5.54401577e-01 7.27136230e+00 -6.92664576e+00
1.10880363e+00 7.77151108e+00 -5.71071053e+00
1.66321158e+00 8.12058163e+00 -4.79656839e+00
2.21761322e+00 8.31855202e+00 -4.18425274e+00
2.77201533e+00 8.39781952e+00 -3.86297107e+00
3.32641697e+00 8.34498310e+00 -3.57661486e+00
3.88081861e+00 8.44219494e+00 -3.39190292e+00
4.43522644e+00 8.57288742e+00 -3.22412586e+00
4.98962831e+00 8.67364788e+00 -3.02729416e+00
5.54402971e+00 8.75410080e+00 -2.87762785e+00
6.09843111e+00 8.81506729e+00 -2.75165129e+00
6.65283298e+00 8.83942223e+00 -2.67765188e+00
7.20724106e+00 8.81910801e+00 -2.70735955e+00
7.76164246e+00 8.79187298e+00 -2.75839567e+00
8.31604481e+00 8.76713467e+00 -2.71595311e+00
8.87044621e+00 8.71780777e+00 -2.66946602e+00
9.42484760e+00 8.72150040e+00 -2.67257380e+00
9.97925568e+00 8.72599888e+00 -2.65397954e+00
1.05336580e+01 8.72562504e+00 -2.63234782e+00
1.10880594e+01 8.72221375e+00 -2.62184811e+00
1.16424608e+01 8.71320248e+00 -2.62730527e+00
1.21968632e+01 8.70462513e+00 -2.63139057e+00
1.27512712e+01 8.70194912e+00 -2.61631322e+00
1.33056726e+01 8.70180798e+00 -2.59852195e+00
1.38600740e+01 8.70270157e+00 -2.58359647e+00
1.44144754e+01 8.70443439e+00 -2.57460642e+00
1.49688768e+01 8.70934010e+00 -2.57582498e+00
1.55232849e+01 8.71998787e+00 -2.57895184e+00
1.60776863e+01 8.72536182e+00 -2.57771230e+00
1.66320877e+01 8.72358322e+00 -2.57134008e+00
1.71864891e+01 8.72121716e+00 -2.56613779e+00
1.77408905e+01 8.71826649e+00 -2.56210542e+00
1.82952995e+01 8.71472836e+00 -2.55924368e+00
1.88497009e+01 8.70978451e+00 -2.55623293e+00
1.94041023e+01 8.69728470e+00 -2.55133462e+00
1.99585037e+01 8.71323776e+00 -2.55282474e+00
2.05129051e+01 8.72757053e+00 -2.54690194e+00
2.10673065e+01 8.72897339e+00 -2.54921508e+00
2.16217155e+01 8.72395134e+00 -2.55480433e+00
2.21761169e+01 8.71748829e+00 -2.55780578e+00
2.27305183e+01 8.70958424e+00 -2.55821919e+00
2.32849197e+01 8.70363426e+00 -2.55765367e+00
2.38393211e+01 8.71132088e+00 -2.56175137e+00
2.43937302e+01 8.71766186e+00 -2.56348038e+00
2.49481316e+01 8.72265720e+00 -2.56284070e+00
2.55025330e+01 8.72304535e+00 -2.55734396e+00
2.60569344e+01 8.72188759e+00 -2.55377579e+00
2.66113358e+01 8.72080040e+00 -2.54983878e+00
2.71657448e+01 8.72015285e+00 -2.54529190e+00
2.77201462e+01 8.72180271e+00 -2.54605079e+00
2.82745476e+01 8.72537518e+00 -2.54730439e+00
2.88289490e+01 8.72838020e+00 -2.54955006e+00
2.93833504e+01 8.72989941e+00 -2.54908919e+00
2.99377594e+01 8.73005867e+00 -2.54766583e+00
3.04921608e+01 8.72792721e+00 -2.54548836e+00
3.10465622e+01 8.72594738e+00 -2.54065466e+00
3.16009636e+01 8.72458267e+00 -2.53313994e+00
3.21553650e+01 8.72136784e+00 -2.52503514e+00
3.27097740e+01 8.71034622e+00 -2.52391386e+00
3.32641754e+01 8.72286701e+00 -2.53871965e+00
3.38185768e+01 8.72390079e+00 -2.53944206e+00
3.43729782e+01 8.72498894e+00 -2.53665471e+00
3.49273796e+01 8.72495174e+00 -2.53854656e+00
3.54817886e+01 8.72548389e+00 -2.54224133e+00
3.60361900e+01 8.72619057e+00 -2.54476857e+00
3.65905914e+01 8.72707081e+00 -2.54612827e+00
3.71449928e+01 8.73011398e+00 -2.54572725e+00
3.76993942e+01 8.73496437e+00 -2.54212046e+00
3.82538033e+01 8.72265244e+00 -2.55401826e+00
3.88082047e+01 8.71612644e+00 -2.56653833e+00
3.93626060e+01 8.71764374e+00 -2.57859087e+00
3.99170074e+01 8.73646927e+00 -2.57892847e+00
