# distance SDV3 SDV4
0.00000000e+00 7.45223904e+00 -5.42066622e+00
5.54401577e-01 8.14694977e+00 -4.03577614e+00
1.10880363e+00 8.68375492e+00 -3.01011467e+00
1.66321158e+00 9.06265736e+00 -2.34368467e+00
2.21761322e+00 9.28365040e+00 -2.03648973e+00
2.77201533e+00 9.34673882e+00 -2.08852434e+00
3.32641697e+00 9.31726742e+00 -2.27059031e+00
3.88081861e+00 9.36871052e+00 -2.22012520e+00
4.43522644e+00 9.39133263e+00 -2.19898295e+00
4.98962831e+00 9.38513088e+00 -2.20715737e+00
5.54402971e+00 9.35010624e+00 -2.24465179e+00
6.09843111e+00 9.28625870e+00 -2.31146646e+00
6.65283298e+00 9.40589333e+00 -1.93681192e+00
7.20724106e+00 9.23612118e+00 -1.68735075e+00
7.76164246e+00 9.11647034e+00 -1.53043437e+00
8.31604481e+00 9.04693604e+00 -1.46606159e+00
8.87044621e+00 9.02751732e+00 -1.49423361e+00
9.42484760e+00 9.08960915e+00 -1.50532091e+00
9.97925568e+00 9.12748146e+00 -1.47029638e+00
1.05336580e+01 9.16287613e+00 -1.48521304e+00
1.10880594e+01 9.18004417e+00 -1.50258887e+00
1.16424608e+01 9.17898560e+00 -1.52242386e+00
1.21968632e+01 9.15970135e+00 -1.54471743e+00
1.27512712e+01 9.20383644e+00 -1.44722414e+00
1.33056726e+01 9.06124306e+00 -1.36645162e+00
1.38600740e+01 8.96230888e+00 -1.35615194e+00
1.44144754e+01 8.95630932e+00 -1.40903902e+00
1.49688768e+01 9.04324913e+00 -1.52511287e+00
1.55232849e+01 9.17375088e+00 -1.56928289e+00
1.60776863e+01 9.20539284e+00 -1.45061386e+00
1.66320877e+01 9.27331161e+00 -1.50800073e+00
1.71864891e+01 9.30241585e+00 -1.53689528e+00
1.77408905e+01 9.27746773e+00 -1.50597918e+00
1.82952995e+01 9.19846344e+00 -1.41525149e+00
1.88497009e+01 9.21138096e+00 -1.34647083e+00
1.94041023e+01 9.27377129e+00 -1.30391228e+00
1.99585037e+01 9.38495636e+00 -1.42605925e+00
2.05129051e+01 9.41553402e+00 -1.44775128e+00
2.10673065e+01 9.36550522e+00 -1.36898708e+00
2.16217155e+01 9.35605621e+00 -1.30648673e+00
2.21761169e+01 9.38951874e+00 -1.29115796e+00
2.27305183e+01 9.29611874e+00 -1.23113775e+00
2.32849197e+01 9.12371540e+00 -1.25286269e+00
2.38393211e+01 9.13107491e+00 -1.36702752e+00
2.43937302e+01 9.31819916e+00 -1.57363439e+00
2.49481316e+01 9.39918423e+00 -1.54058325e+00
2.55025330e+01 9.38315392e+00 -1.43127704e+00
2.60569344e+01 9.20457649e+00 -1.28154337e+00
2.66113358e+01 9.06586552e+00 -1.25311017e+00
2.71657448e+01 9.15667248e+00 -1.35578835e+00
2.77201462e+01 9.36331940e+00 -1.47882104e+00
2.82745476e+01 9.44144821e+00 -1.43859529e+00
2.88289490e+01 9.42328835e+00 -1.28466129e+00
2.93833504e+01 9.36489487e+00 -1.19193208e+00
2.99377594e+01 9.34321213e+00 -1.20697010e+00
3.04921608e+01 9.34330082e+00 -1.23300350e+00
3.10465622e+01 9.50727177e+00 -1.32559371e+00
3.16009636e+01 9.53210163e+00 -1.32902741e+00
3.21553650e+01 9.41779518e+00 -1.24330568e+00
3.27097740e+01 9.41530895e+00 -1.28818345e+00
3.32641754e+01 9.38203239e+00 -1.33228350e+00
3.38185768e+01 9.38237953e+00 -1.37300575e+00
3.43729782e+01 9.44031334e+00 -1.41093349e+00
3.49273796e+01 9.42634869e+00 -1.38401318e+00
3.54817886e+01 9.34048367e+00 -1.29224241e+00
3.60361900e+01 9.30704689e+00 -1.46171808e+00
3.65905914e+01 9.16402626e+00 -1.59089947e+00
3.71449928e+01 9.24768639e+00 -1.59151733e+00
3.76993942e+01 9.27518082e+00 -1.54589081e+00
3.82538033e+01 9.24650764e+00 -1.45401669e+00
3.88082047e+01 9.18036747e+00 -1.35063839e+00
3.93626060e+01 9.15498924e+00 -1.45092428e+00
3.99170074e+01 9.36170959e+00 -1.62782574e+00
4.04714088e+01 9.68738461e+00 -1.80850744e+00
4.10258141e+01 9.72853565e+00 -1.82688379e+00
4.15802193e+01 9.48516083e+00 -1.68295312e+00
4.21346207e+01 9.16765690e+00 -1.51492465e+00
4.26890221e+01 9.12855244e+00 -1.57440710e+00
4.32434273e+01 9.12049580e+00 -1.47541308e+00
4.37978287e+01 9.10840034e+00 -1.42463398e+00
4.43522339e+01 9.09226704e+00 -1.42207134e+00
4.49066353e+01 9.07209396e+00 -1.46772623e+00
4.54610367e+01 9.00566292e+00 -1.58142602e+00
4.60154419e+01 9.01428795e+00 -1.67851496e+00
4.65698433e+01 9.18292141e+00 -1.73378086e+00
4.71242447e+01 9.29825306e+00 -1.78620720e+00
4.76786499e+01 9.36028481e+00 -1.83579266e+00
4.82330513e+01 9.36901665e+00 -1.88253915e+00
4.87874565e+01 9.32096291e+00 -2.01260352e+00
4.93418579e+01 9.45710373e+00 -1.96991134e+00
4.98962593e+01 9.45319939e+00 -1.98961949e+00
5.04506645e+01 9.30925274e+00 -2.07172704e+00
5.10050659e+01 9.02526569e+00 -2.21623325e+00
5.15594711e+01 8.60123444e+00 -2.42313862e+00
5.21138725e+01 8.76452827e+00 -2.19407845e+00
5.26682739e+01 9.02815819e+00 -2.27241015e+00
5.32226791e+01 9.10017204e+00 -2.65912461e+00
5.37770805e+01 8.98056412e+00 -3.35422921e+00
5.43314857e+01 8.66933918e+00 -4.35772324e+00
5.48858871e+01 8.16649628e+00 -5.66960096e+00
