# distance SDV3 SDV4
0.00000000e+00 1.24792533e-03 4.88717458e-04
5.54401577e-01 8.89104907e-04 5.20319270e-04
1.10880363e+00 6.13442215e-04 5.52441692e-04
1.66321158e+00 4.20932571e-04 5.85085596e-04
2.21761322e+00 3.43022490e-04 6.26476656e-04
2.77201533e+00 3.01148306e-04 6.72366587e-04
3.32641697e+00 3.12209973e-04 6.93919137e-04
3.88081861e+00 3.42123589e-04 6.93689566e-04
4.43522644e+00 3.40143335e-04 6.98522083e-04
4.98962831e+00 3.34143115e-04 6.87026884e-04
5.54402971e+00 3.31174961e-04 6.63877756e-04
6.09843111e+00 3.12789896e-04 6.70175592e-04
6.65283298e+00 2.88825249e-04 6.85818726e-04
7.20724106e+00 2.64131406e-04 7.03554775e-04
7.76164246e+00 2.38709850e-04 7.23382924e-04
8.31604481e+00 2.12559928e-04 7.45303463e-04
8.87044621e+00 1.85681623e-04 7.69316335e-04
9.42484760e+00 1.64948928e-04 7.82408111e-04
9.97925568e+00 1.44395221e-04 7.92975188e-04
1.05336580e+01 1.21079967e-04 8.02677823e-04
1.10880594e+01 9.96690724e-05 8.10999074e-04
1.16424608e+01 8.15829626e-05 8.18205706e-04
1.21968632e+01 6.67782879e-05 8.24266521e-04
1.27512712e+01 5.60430599e-05 8.27822194e-04
1.33056726e+01 4.75519155e-05 8.33680620e-04
1.38600740e+01 3.60126432e-05 8.45181989e-04
1.44144754e+01 2.59992776e-05 8.56244180e-04
1.49688768e+01 2.06839577e-05 8.65441107e-04
1.55232849e+01 2.27347555e-05 8.70807096e-04
1.60776863e+01 2.73148507e-05 8.74173827e-04
1.66320877e+01 2.90364842e-05 8.77749873e-04
1.71864891e+01 2.54449333e-05 8.84140492e-04
1.77408905e+01 2.18270725e-05 8.90264346e-04
1.82952995e+01 2.07714875e-05 8.94877710e-04
1.88497009e+01 2.20890852e-05 8.97859107e-04
1.94041023e+01 3.01786658e-05 8.91972100e-04
1.99585037e+01 3.57578465e-05 8.86857568e-04
2.05129051e+01 3.80259116e-05 8.83848465e-04
2.10673065e+01 3.38668251e-05 8.90220748e-04
2.16217155e+01 3.31989795e-05 8.91776581e-04
2.21761169e+01 3.30289622e-05 8.94003548e-04
2.27305183e+01 3.31957526e-05 8.97163351e-04
2.32849197e+01 3.50687405e-05 9.00878338e-04
2.38393211e+01 3.73569201e-05 9.04101820e-04
2.43937302e+01 3.97357471e-05 9.06783855e-04
2.49481316e+01 3.22195046e-05 9.14601667e-04
2.55025330e+01 2.47245134e-05 9.22043459e-04
2.60569344e+01 1.74741381e-05 9.28983558e-04
2.66113358e+01 1.08822542e-05 9.34866082e-04
2.71657448e+01 1.37363822e-05 9.30558424e-04
2.77201462e+01 1.71817956e-05 9.26999259e-04
2.82745476e+01 2.05584693e-05 9.23464831e-04
2.88289490e+01 2.38664015e-05 9.19954968e-04
2.93833504e+01 2.71055833e-05 9.16469726e-04
2.99377594e+01 2.94907877e-05 9.14052769e-04
3.04921608e+01 3.25644578e-05 9.17542959e-04
3.10465622e+01 3.58180732e-05 9.21335071e-04
3.16009636e+01 3.83576153e-05 9.25440399e-04
3.21553650e+01 4.01830621e-05 9.29859059e-04
3.27097740e+01 4.53133107e-05 9.24235675e-04
3.32641754e+01 4.85366763e-05 9.19546932e-04
3.38185768e+01 4.91655046e-05 9.17402504e-04
3.43729782e+01 4.72359607e-05 9.17256926e-04
3.49273796e+01 4.43576319e-05 9.16820485e-04
3.54817886e+01 4.10007560e-05 9.17997269e-04
3.60361900e+01 3.86051397e-05 9.19896120e-04
3.65905914e+01 3.47264577e-05 9.24593420e-04
3.71449928e+01 2.71012832e-05 9.34637093e-04
3.76993942e+01 2.21791634e-05 9.42630868e-04
3.82538033e+01 2.47356802e-05 9.36854805e-04
3.88082047e+01 2.73620062e-05 9.31765535e-04
3.93626060e+01 3.00582324e-05 9.27362998e-04
3.99170074e+01 3.28243623e-05 9.23647312e-04
4.04714088e+01 3.79139201e-05 9.20403865e-04
4.10258141e+01 4.28349485e-05 9.12561023e-04
4.15802193e+01 5.75156082e-05 8.98895611e-04
4.21346207e+01 8.19669876e-05 8.80677195e-04
4.26890221e+01 1.14675051e-04 8.58079002e-04
4.32434273e+01 1.55189831e-04 8.31408543e-04
4.37978287e+01 1.69595602e-04 8.23573733e-04
4.43522339e+01 1.83126947e-04 8.17077060e-04
4.49066353e+01 1.95288841e-04 8.12259270e-04
4.54610367e+01 1.85538564e-04 8.26945121e-04
4.60154419e+01 2.45519797e-04 8.02906347e-04
4.65698433e+01 3.01143591e-04 7.80238071e-04
4.71242447e+01 3.52414616e-04 7.57362694e-04
4.76786499e+01 3.99333920e-04 7.34279514e-04
4.82330513e+01 4.40369273e-04 7.10656983e-04
4.87874565e+01 4.58506402e-04 6.86202140e-04
4.93418579e+01 4.74934932e-04 6.68472145e-04
4.98962593e+01 4.89655358e-04 6.57466706e-04
5.04506645e+01 5.02668263e-04 6.53185591e-04
5.10050659e+01 5.13972656e-04 6.55629206e-04
5.15594711e+01 5.48362616e-04 6.27544592e-04
5.21138725e+01 5.36284177e-04 6.27128000e-04
5.26682739e+01 5.29204146e-04 5.99360385e-04
5.32226791e+01 6.31377741e-04 5.72238758e-04
5.37770805e+01 8.34934879e-04 5.47613832e-04
5.43314857e+01 1.13987934e-03 5.25484968e-04
5.48858871e+01 1.54620642e-03 5.05852513e-04
