 time 	 RF 
0.0000e+00 	 0.00e+00 
9.6000e+01 	 -6.50e+02 
1.9200e+02 	 -1.10e+03 
2.8800e+02 	 -1.47e+03 
3.8400e+02 	 -1.81e+03 
4.8000e+02 	 -2.11e+03 
5.7600e+02 	 -2.39e+03 
6.7200e+02 	 -2.66e+03 
7.6800e+02 	 -2.90e+03 
8.6400e+02 	 -3.11e+03 
9.6000e+02 	 -3.33e+03 
1.0560e+03 	 -3.54e+03 
1.1520e+03 	 -3.74e+03 
1.2480e+03 	 -3.94e+03 
1.3440e+03 	 -4.13e+03 
1.4400e+03 	 -4.32e+03 
1.5360e+03 	 -4.50e+03 
1.6320e+03 	 -4.67e+03 
1.7280e+03 	 -4.84e+03 
1.8240e+03 	 -5.00e+03 
1.9200e+03 	 -5.16e+03 
2.0160e+03 	 -5.31e+03 
2.1120e+03 	 -5.46e+03 
2.2080e+03 	 -5.60e+03 
2.3040e+03 	 -5.74e+03 
2.4000e+03 	 -5.88e+03 
2.4960e+03 	 -6.01e+03 
2.5920e+03 	 -6.14e+03 
2.6880e+03 	 -6.26e+03 
2.7840e+03 	 -6.37e+03 
2.8800e+03 	 -6.48e+03 
2.9760e+03 	 -6.59e+03 
3.0720e+03 	 -6.68e+03 
3.1680e+03 	 -6.76e+03 
3.2640e+03 	 -6.83e+03 
3.3600e+03 	 -6.90e+03 
3.4560e+03 	 -6.96e+03 
3.5520e+03 	 -7.01e+03 
3.6480e+03 	 -7.06e+03 
3.7440e+03 	 -7.11e+03 
3.8400e+03 	 -7.15e+03 
3.9360e+03 	 -7.20e+03 
4.0320e+03 	 -7.23e+03 
4.1280e+03 	 -7.27e+03 
4.2240e+03 	 -7.31e+03 
4.3200e+03 	 -7.34e+03 
4.4160e+03 	 -7.37e+03 
4.5120e+03 	 -7.40e+03 
4.6080e+03 	 -7.43e+03 
4.7040e+03 	 -7.46e+03 
4.8000e+03 	 -7.48e+03 
