# distance SDV3 SDV4
0.00000000e+00 6.82517624e+00 -8.02635098e+00
5.54401577e-01 7.14737654e+00 -6.68180704e+00
1.10880363e+00 7.43326092e+00 -5.55359936e+00
1.66321158e+00 7.68283176e+00 -4.64173174e+00
2.21761322e+00 7.89608097e+00 -3.94622087e+00
2.77201533e+00 8.07301044e+00 -3.46706223e+00
3.32641697e+00 8.21362495e+00 -3.20424676e+00
3.88081861e+00 8.31792259e+00 -3.15777707e+00
4.43522644e+00 8.40689182e+00 -3.00748062e+00
4.98962831e+00 8.47856426e+00 -2.84589767e+00
5.54402971e+00 8.52196121e+00 -2.75106096e+00
6.09843111e+00 8.53694344e+00 -2.72277570e+00
6.65283298e+00 8.55894089e+00 -2.71036601e+00
7.20724106e+00 8.63720036e+00 -2.66778255e+00
7.76164246e+00 8.65263367e+00 -2.60746741e+00
8.31604481e+00 8.66515350e+00 -2.56900787e+00
8.87044621e+00 8.66973877e+00 -2.55253458e+00
9.42484760e+00 8.67225170e+00 -2.54873490e+00
9.97925568e+00 8.71367455e+00 -2.55001926e+00
1.05336580e+01 8.76187325e+00 -2.52859354e+00
1.10880594e+01 8.76119900e+00 -2.52577853e+00
1.16424608e+01 8.74473953e+00 -2.52512074e+00
1.21968632e+01 8.71317673e+00 -2.52535295e+00
1.27512712e+01 8.68820953e+00 -2.52924156e+00
1.33056726e+01 8.68402672e+00 -2.53407741e+00
1.38600740e+01 8.67547512e+00 -2.52937078e+00
1.44144754e+01 8.66971970e+00 -2.50938582e+00
1.49688768e+01 8.70931244e+00 -2.51030397e+00
1.55232849e+01 8.73106861e+00 -2.51354098e+00
1.60776863e+01 8.74270725e+00 -2.51333332e+00
1.66320877e+01 8.73927021e+00 -2.51613212e+00
1.71864891e+01 8.74314117e+00 -2.51890945e+00
1.77408905e+01 8.74647522e+00 -2.51964879e+00
1.82952995e+01 8.74927235e+00 -2.51834989e+00
1.88497009e+01 8.75043297e+00 -2.51769638e+00
1.94041023e+01 8.73769093e+00 -2.51307821e+00
1.99585037e+01 8.73017216e+00 -2.50941491e+00
