# distance SDV3 SDV4
0.00000000e+00 8.67219543e+00 -5.12251949e+00
5.54401577e-01 8.95895576e+00 -4.75862932e+00
1.10880363e+00 9.21222878e+00 -4.41797256e+00
1.66321158e+00 9.43202209e+00 -4.10055971e+00
2.21761322e+00 9.61832428e+00 -3.80637574e+00
2.77201533e+00 9.77114201e+00 -3.53542519e+00
3.32641697e+00 9.89047146e+00 -3.28771138e+00
3.88081861e+00 9.97631645e+00 -3.06323314e+00
4.43522644e+00 1.00286789e+01 -2.86199427e+00
4.98962831e+00 1.00475521e+01 -2.68398499e+00
5.54402971e+00 1.00329390e+01 -2.52921271e+00
6.09843111e+00 9.98484039e+00 -2.39767551e+00
6.65283298e+00 9.90325737e+00 -2.28937244e+00
7.20724106e+00 9.78818703e+00 -2.20430803e+00
7.76164246e+00 9.63963127e+00 -2.14247608e+00
8.31604481e+00 9.45758820e+00 -2.10387874e+00
8.87044621e+00 9.24206161e+00 -2.08851719e+00
9.42484760e+00 9.09357452e+00 -2.05102539e+00
9.97925568e+00 9.02507591e+00 -1.97046340e+00
1.05336580e+01 8.94035912e+00 -1.88521349e+00
1.10880594e+01 8.89810181e+00 -1.83434772e+00
1.16424608e+01 9.06826878e+00 -1.93044066e+00
1.21968632e+01 9.21219254e+00 -2.01417327e+00
1.27512712e+01 9.32987595e+00 -2.08555126e+00
1.33056726e+01 9.42131233e+00 -2.14456367e+00
1.38600740e+01 9.48650360e+00 -2.19121647e+00
1.44144754e+01 9.52544975e+00 -2.22550917e+00
1.49688768e+01 9.53815460e+00 -2.24744225e+00
1.55232849e+01 9.52461433e+00 -2.25701714e+00
1.60776863e+01 9.48482895e+00 -2.25422955e+00
1.66320877e+01 9.41880035e+00 -2.23908186e+00
1.71864891e+01 9.32652569e+00 -2.21157455e+00
1.77408905e+01 9.20800877e+00 -2.17170691e+00
1.82952995e+01 9.06324387e+00 -2.11947870e+00
1.88497009e+01 9.06776714e+00 -1.99905396e+00
1.94041023e+01 9.07996655e+00 -1.88628757e+00
1.99585037e+01 9.09984303e+00 -1.78117871e+00
2.05129051e+01 9.12739658e+00 -1.68372762e+00
2.10673065e+01 9.16262531e+00 -1.59393430e+00
2.16217155e+01 9.20553207e+00 -1.51179671e+00
2.21761169e+01 9.24960232e+00 -1.48885131e+00
2.27305183e+01 9.28190517e+00 -1.54699159e+00
2.32849197e+01 9.30806732e+00 -1.60726213e+00
2.38393211e+01 9.32808590e+00 -1.66966271e+00
2.43937302e+01 9.34196091e+00 -1.73419452e+00
2.49481316e+01 9.34969521e+00 -1.80085468e+00
2.55025330e+01 9.35128593e+00 -1.86964488e+00
2.60569344e+01 9.34673405e+00 -1.94056487e+00
2.66113358e+01 9.33603954e+00 -2.01361489e+00
2.71657448e+01 9.31920338e+00 -2.08879566e+00
2.77201462e+01 9.39662743e+00 -2.14564180e+00
2.82745476e+01 9.52931881e+00 -2.16235757e+00
2.88289490e+01 9.60387802e+00 -2.15214133e+00
2.93833504e+01 9.62030411e+00 -2.11499286e+00
2.99377594e+01 9.57859421e+00 -2.05090952e+00
3.04921608e+01 9.47875500e+00 -1.95989656e+00
3.10465622e+01 9.32078362e+00 -1.84195137e+00
3.16009636e+01 9.10468102e+00 -1.69707406e+00
3.21553650e+01 8.83044529e+00 -1.52526498e+00
3.27097740e+01 8.49806786e+00 -1.32651758e+00
3.32641754e+01 8.40170956e+00 -1.32241523e+00
3.38185768e+01 8.48645687e+00 -1.45881915e+00
3.43729782e+01 8.56702518e+00 -1.59296489e+00
3.49273796e+01 8.64341545e+00 -1.72485280e+00
3.54817886e+01 8.71562958e+00 -1.85448444e+00
3.60361900e+01 8.78366089e+00 -1.98185599e+00
3.65905914e+01 8.84751415e+00 -2.10696959e+00
3.68677921e+01 8.84840775e+00 -2.15375757e+00
3.71449928e+01 8.85252380e+00 -2.19016457e+00
3.76993980e+01 8.99565601e+00 -2.21619034e+00
3.82537994e+01 9.11648655e+00 -2.23183560e+00
3.88082047e+01 9.21501446e+00 -2.23709965e+00
3.93626060e+01 9.29123783e+00 -2.23198342e+00
3.99170074e+01 9.34515762e+00 -2.21648598e+00
4.04714108e+01 9.37677574e+00 -2.19060707e+00
4.10258141e+01 9.38608932e+00 -2.15434670e+00
4.15802174e+01 9.37310028e+00 -2.10770702e+00
4.21346207e+01 9.33780766e+00 -2.05068612e+00
4.26890240e+01 9.28021240e+00 -1.98328352e+00
4.32434254e+01 9.20031452e+00 -1.90550113e+00
4.37978306e+01 9.09811211e+00 -1.83226061e+00
4.43522320e+01 8.97360802e+00 -1.75804877e+00
4.49066353e+01 9.00997353e+00 -1.67976260e+00
4.54610386e+01 9.08640194e+00 -1.66750479e+00
4.60154400e+01 9.16211987e+00 -1.73849988e+00
4.65698433e+01 9.30212879e+00 -1.82838571e+00
4.71242466e+01 9.48374653e+00 -1.93715882e+00
4.76786480e+01 9.63441944e+00 -2.06482315e+00
4.82330532e+01 9.75414562e+00 -2.21137667e+00
4.87874546e+01 9.84292412e+00 -2.37682080e+00
4.93418579e+01 9.90075779e+00 -2.56115413e+00
4.98962612e+01 9.92764473e+00 -2.76437688e+00
5.04506626e+01 9.92358494e+00 -2.98649025e+00
5.10050678e+01 9.88857651e+00 -3.22749043e+00
5.15594692e+01 9.82262421e+00 -3.48738360e+00
5.21138725e+01 9.72572422e+00 -3.76616931e+00
5.26682758e+01 9.59787941e+00 -4.06383801e+00
5.32226772e+01 9.43908691e+00 -4.38040113e+00
5.37770824e+01 9.24934673e+00 -4.71585131e+00
5.43314838e+01 9.02866268e+00 -5.07019377e+00
