# distance SDV3 SDV4
0.00000000e+00 2.93954532e-03 6.87348482e-04
5.54401577e-01 2.38994043e-03 8.75522615e-04
1.10880363e+00 1.96232228e-03 1.03688950e-03
1.66321158e+00 1.65668596e-03 1.17144827e-03
2.21761322e+00 1.47304230e-03 1.27919891e-03
2.77201533e+00 1.41138583e-03 1.36014225e-03
3.32641697e+00 1.33519329e-03 1.46719161e-03
3.88081861e+00 1.07575988e-03 1.56022387e-03
4.43522644e+00 8.97482387e-04 1.62860495e-03
4.98962831e+00 8.00371286e-04 1.67233741e-03
5.54402971e+00 7.84420408e-04 1.69141975e-03
6.09843111e+00 8.49628821e-04 1.68585230e-03
6.65283298e+00 6.02249755e-04 1.91883813e-03
7.20724106e+00 5.19836554e-04 2.01367587e-03
7.76164246e+00 4.65722609e-04 2.06165574e-03
8.31604481e+00 4.39906609e-04 2.06277659e-03
8.87044621e+00 4.42388176e-04 2.01703794e-03
9.42484760e+00 4.16679424e-04 2.02778052e-03
9.97925568e+00 3.75513686e-04 2.07212986e-03
1.05336580e+01 3.62035498e-04 2.07244093e-03
1.10880594e+01 3.56489065e-04 2.06345180e-03
1.16424608e+01 3.58874269e-04 2.04516225e-03
1.21968632e+01 3.69191170e-04 2.01757345e-03
1.27512712e+01 3.16074962e-04 2.07084301e-03
1.33056726e+01 3.07989074e-04 2.06920272e-03
1.38600740e+01 3.34672193e-04 2.03839503e-03
1.44144754e+01 3.80892743e-04 1.99328060e-03
1.49688768e+01 4.46650491e-04 1.93385908e-03
1.55232849e+01 4.41942160e-04 1.93762558e-03
1.60776863e+01 3.52452131e-04 2.02178513e-03
1.66320877e+01 3.44469270e-04 2.01617926e-03
1.71864891e+01 3.49633978e-04 2.00240361e-03
1.77408905e+01 3.57256737e-04 1.99334789e-03
1.82952995e+01 3.67337489e-04 1.98901142e-03
1.88497009e+01 3.31534189e-04 2.01375014e-03
1.94041023e+01 2.99908366e-04 2.04079156e-03
1.99585037e+01 3.21298954e-04 2.05594208e-03
2.05129051e+01 3.32783937e-04 2.07957858e-03
2.10673065e+01 3.34363256e-04 2.11170083e-03
2.16217155e+01 3.14334553e-04 2.14899913e-03
2.21761169e+01 2.81325600e-04 2.17603263e-03
2.27305183e+01 2.72251695e-04 2.17774673e-03
2.32849197e+01 3.44646396e-04 2.11839890e-03
2.38393211e+01 4.30416840e-04 2.03722646e-03
2.43937302e+01 5.29564160e-04 1.93422835e-03
2.49481316e+01 4.79871058e-04 2.01032404e-03
2.55025330e+01 4.16911265e-04 2.08431785e-03
2.60569344e+01 3.71487782e-04 2.12221593e-03
2.66113358e+01 3.77912627e-04 2.09845440e-03
2.71657448e+01 4.00981196e-04 2.05700891e-03
2.77201462e+01 3.77073360e-04 2.04812665e-03
2.82745476e+01 3.01989261e-04 2.09483923e-03
2.88289490e+01 2.37947141e-04 2.15457845e-03
2.93833504e+01 2.35180225e-04 2.18479941e-03
2.99377594e+01 2.67578580e-04 2.18966277e-03
3.04921608e+01 2.97112507e-04 2.19671964e-03
3.10465622e+01 2.88873736e-04 2.22416501e-03
3.16009636e+01 2.71598459e-04 2.23653391e-03
3.21553650e+01 2.45286530e-04 2.23382702e-03
3.27097740e+01 2.77205021e-04 2.19330611e-03
3.32641754e+01 3.26184207e-04 2.14054785e-03
3.38185768e+01 3.35566001e-04 2.12802598e-03
3.43729782e+01 3.13519675e-04 2.15014676e-03
3.49273796e+01 2.99448497e-04 2.16088118e-03
3.54817886e+01 2.93352525e-04 2.16023019e-03
3.60361900e+01 4.38396586e-04 2.02943152e-03
3.65905914e+01 5.99353516e-04 1.89145852e-03
3.71449928e+01 5.26654359e-04 1.96029060e-03
3.76993942e+01 4.64908604e-04 2.01592594e-03
3.82538033e+01 4.14117065e-04 2.05836585e-03
3.88082047e+01 3.86965461e-04 2.07599974e-03
3.93626060e+01 4.59468400e-04 2.00070161e-03
3.99170074e+01 4.77807713e-04 1.98235177e-03
4.04714088e+01 4.57660761e-04 2.01269845e-03
4.10258141e+01 4.57876915e-04 2.03190278e-03
4.15802193e+01 4.78456030e-04 2.03996385e-03
4.21346207e+01 5.17391367e-04 2.03276146e-03
4.26890221e+01 5.55761915e-04 2.00711214e-03
4.32434273e+01 4.90997452e-04 2.09031743e-03
4.37978287e+01 4.53395449e-04 2.13613780e-03
4.43522339e+01 4.42955497e-04 2.14457326e-03
4.49066353e+01 4.59676870e-04 2.11562123e-03
4.54610367e+01 5.38090302e-04 2.02352274e-03
4.60154419e+01 6.01808599e-04 1.95941050e-03
4.65698433e+01 6.17524318e-04 1.96614955e-03
4.71242447e+01 6.56467688e-04 1.96484406e-03
4.76786499e+01 7.18640396e-04 1.95549615e-03
4.82330513e+01 8.04039708e-04 1.93810277e-03
4.87874565e+01 8.99833278e-04 1.83372386e-03
4.93418579e+01 8.63069668e-04 1.89117773e-03
4.98962593e+01 9.09318915e-04 1.86955952e-03
5.04506645e+01 1.03858137e-03 1.76887249e-03
5.10050659e+01 1.25085271e-03 1.58911699e-03
5.15594711e+01 1.54613936e-03 1.33029220e-03
5.21138725e+01 1.54373329e-03 1.28901401e-03
5.26682739e+01 1.61967182e-03 1.30601611e-03
5.32226791e+01 1.87059550e-03 1.25988084e-03
5.37770805e+01 2.29649851e-03 1.15060445e-03
5.43314857e+01 2.89738807e-03 9.78188589e-04
5.48858871e+01 3.67325521e-03 7.42633827e-04
