# distance SDV3 SDV4
0.00000000e+00 1.61100633e-03 6.17978629e-04
2.77200788e-01 1.47799205e-03 2.99639360e-04
5.54401815e-01 1.35455048e-03 -2.27729033e-05
8.31605792e-01 1.24067185e-03 1.00443431e-03
1.10880661e+00 1.13637152e-03 5.60597866e-04
1.38600767e+00 1.04164332e-03 7.63218210e-04
1.66320848e+00 9.56485164e-04 9.90873436e-04
1.94040930e+00 8.80898209e-04 4.36317467e-04
2.21761322e+00 8.14877218e-04 9.35968012e-04
2.49481416e+00 7.58433365e-04 7.71561870e-04
2.77201486e+00 7.11560016e-04 3.48007656e-04
3.04921556e+00 6.74257579e-04 8.25950527e-04
3.32641649e+00 6.46527042e-04 2.64953356e-04
3.60362053e+00 6.28363574e-04 7.52208813e-04
3.88082123e+00 6.19775034e-04 3.87090095e-03
4.15802240e+00 6.20758045e-04 9.38158599e-04
4.71242389e+00 6.31311676e-04 9.58973658e-04
5.26682562e+00 6.25227403e-04 9.82748810e-04
5.82123363e+00 5.94885787e-04 1.00948173e-03
6.37563562e+00 5.63961337e-04 1.03917555e-03
6.93003738e+00 5.50830388e-04 1.07182935e-03
7.48443890e+00 6.09722571e-04 1.10744243e-03
8.03884089e+00 6.66536856e-04 1.14601525e-03
8.59324884e+00 7.21272721e-04 1.18754583e-03
9.14765048e+00 7.73930573e-04 1.23203802e-03
9.70205188e+00 8.24510120e-04 1.27948937e-03
1.02564533e+01 8.73011712e-04 1.32990023e-03
1.08108549e+01 9.19434999e-04 1.38327107e-03
1.13652630e+01 9.63779516e-04 1.43959955e-03
1.19196644e+01 1.00604654e-03 1.49888918e-03
1.24740663e+01 1.04623521e-03 1.56113901e-03
1.30284677e+01 1.08434586e-03 1.62634777e-03
1.35828691e+01 1.12037826e-03 1.66046410e-03
1.41372776e+01 1.15433126e-03 1.66095491e-03
1.46916795e+01 1.08244445e-03 1.66103290e-03
1.52460809e+01 1.01581041e-03 1.65837363e-03
1.58004823e+01 9.54428571e-04 1.64639798e-03
1.63548841e+01 8.98298691e-04 1.63464365e-03
