# distance SDV3 SDV4
0.00000000e+00 8.91531754e+00 -5.17404270e+00
5.54401577e-01 9.31044197e+00 -5.01917076e+00
1.10880363e+00 9.61788845e+00 -4.82179213e+00
1.66321158e+00 9.83765984e+00 -4.58192444e+00
2.21761322e+00 9.96975136e+00 -4.29954004e+00
2.77201533e+00 1.00141659e+01 -3.97464943e+00
3.32641697e+00 9.97090244e+00 -3.60725760e+00
3.88081861e+00 9.83996105e+00 -3.19736314e+00
4.43522644e+00 9.62134266e+00 -2.74496770e+00
4.98962831e+00 9.31504822e+00 -2.25006580e+00
5.54402971e+00 9.31162357e+00 -2.34126377e+00
6.09843111e+00 9.16862869e+00 -2.30977607e+00
6.65283298e+00 9.05274296e+00 -2.27583861e+00
7.20724106e+00 8.96396255e+00 -2.23945236e+00
7.76164246e+00 8.90229511e+00 -2.20061588e+00
8.31604481e+00 8.86773777e+00 -2.15932918e+00
8.87044621e+00 8.86028957e+00 -2.11559343e+00
9.42484760e+00 8.87995052e+00 -2.06940770e+00
9.97925568e+00 8.92671680e+00 -2.02077031e+00
1.05336580e+01 8.70894051e+00 -1.70409286e+00
1.10880594e+01 8.55487919e+00 -1.46815968e+00
1.16424608e+01 8.81261349e+00 -1.63144064e+00
1.21968632e+01 9.00095940e+00 -1.74597263e+00
1.27512712e+01 9.11991310e+00 -1.81175935e+00
1.33056726e+01 9.16947556e+00 -1.82879364e+00
1.38600740e+01 9.14964771e+00 -1.79707980e+00
1.44144754e+01 9.06043243e+00 -1.71661735e+00
1.49688768e+01 8.90182590e+00 -1.58740664e+00
1.55232849e+01 8.99037170e+00 -1.54018247e+00
1.60776863e+01 9.04650307e+00 -1.47400105e+00
1.66320877e+01 9.05549335e+00 -1.43561840e+00
1.71864891e+01 9.03738403e+00 -1.51045120e+00
1.77408905e+01 9.04789352e+00 -1.60184669e+00
1.82952995e+01 9.08701611e+00 -1.70980525e+00
1.88497009e+01 9.15476036e+00 -1.83432496e+00
1.94041023e+01 9.25112152e+00 -1.97540689e+00
1.99585037e+01 9.37608528e+00 -2.13304424e+00
2.05129051e+01 9.14964771e+00 -1.84663177e+00
2.10673065e+01 8.86573982e+00 -1.52532613e+00
2.16217155e+01 8.52436638e+00 -1.16912627e+00
2.21761169e+01 8.35764503e+00 -1.02759552e+00
2.27305183e+01 8.54528904e+00 -1.24879050e+00
2.32849197e+01 8.76645851e+00 -1.46839619e+00
2.38393211e+01 9.02115154e+00 -1.68641281e+00
2.43937302e+01 9.30937099e+00 -1.90284204e+00
2.49481316e+01 9.63111210e+00 -2.11767888e+00
2.55025330e+01 9.35066795e+00 -1.86263669e+00
2.60569344e+01 9.05548477e+00 -1.59450507e+00
2.66113358e+01 8.74556255e+00 -1.31328368e+00
2.71657448e+01 8.42089367e+00 -1.01896608e+00
2.77201462e+01 8.29278278e+00 -9.59191084e-01
2.82745476e+01 8.45433807e+00 -1.18307710e+00
2.88289490e+01 8.72531414e+00 -1.45938265e+00
2.93833504e+01 9.10571003e+00 -1.78810799e+00
2.99377594e+01 9.59553051e+00 -2.16925573e+00
3.04921608e+01 9.41828156e+00 -1.98464847e+00
3.10465622e+01 9.20690727e+00 -1.77924752e+00
3.16009636e+01 8.96140862e+00 -1.55305243e+00
3.21553650e+01 8.68178368e+00 -1.30606282e+00
3.27097740e+01 8.36802864e+00 -1.03827274e+00
3.32641754e+01 8.39370346e+00 -1.10346174e+00
3.38185768e+01 8.68299866e+00 -1.40586495e+00
3.43729782e+01 8.99906349e+00 -1.71518242e+00
3.49273796e+01 9.34189796e+00 -2.03141451e+00
3.54817886e+01 9.40140247e+00 -1.99153590e+00
3.60361900e+01 9.41981125e+00 -1.92990434e+00
3.65905914e+01 9.39712811e+00 -1.84652150e+00
3.71449928e+01 9.33335495e+00 -1.74138761e+00
3.76993942e+01 9.22849274e+00 -1.61450243e+00
3.82538033e+01 9.08253670e+00 -1.46586204e+00
3.88082047e+01 9.04214287e+00 -1.57706022e+00
3.93626060e+01 9.02864265e+00 -1.78335261e+00
3.99170074e+01 8.98008442e+00 -1.96337926e+00
4.04714088e+01 8.88409805e+00 -1.89522457e+00
4.10258141e+01 8.82244015e+00 -1.83482337e+00
4.15802193e+01 8.79511356e+00 -1.78217709e+00
4.21346207e+01 8.80211449e+00 -1.73728657e+00
4.26890221e+01 8.84344482e+00 -1.70015121e+00
4.32434273e+01 8.91910553e+00 -1.67077076e+00
4.37978287e+01 9.02909470e+00 -1.64914608e+00
4.43522339e+01 9.02401924e+00 -1.76383328e+00
4.49066353e+01 8.89019394e+00 -1.86582267e+00
4.54610367e+01 8.94320107e+00 -1.90502763e+00
4.60154419e+01 8.98276615e+00 -1.94342923e+00
4.65698433e+01 9.00888634e+00 -1.98102796e+00
4.71242447e+01 9.02156258e+00 -2.01782393e+00
4.76786499e+01 9.02079678e+00 -2.05381608e+00
4.82330513e+01 9.00658798e+00 -2.08900571e+00
4.87874565e+01 8.97893333e+00 -2.12339211e+00
4.93418579e+01 8.93783665e+00 -2.15697551e+00
4.98962593e+01 8.82374382e+00 -2.20270228e+00
5.04506645e+01 9.11229897e+00 -2.39689565e+00
5.10050659e+01 9.30257702e+00 -2.61612010e+00
5.15594711e+01 9.39457798e+00 -2.86037564e+00
5.21138725e+01 9.38830376e+00 -3.12966394e+00
5.26682739e+01 9.28375149e+00 -3.42398477e+00
5.32226791e+01 9.08092403e+00 -3.74333620e+00
5.37770805e+01 8.77982140e+00 -4.08771944e+00
5.43314857e+01 8.38043785e+00 -4.45713568e+00
5.48858871e+01 7.88278389e+00 -4.85158300e+00
