# distance SDV3 SDV4
0.00000000e+00 6.07510328e+00 -9.21082687e+00
5.54401577e-01 6.67684174e+00 -7.63630629e+00
1.10880363e+00 7.25243521e+00 -6.21456194e+00
1.66321158e+00 7.80190372e+00 -4.94556856e+00
2.21761322e+00 8.09309196e+00 -4.12044430e+00
2.77201533e+00 8.12875938e+00 -3.81968617e+00
3.32641697e+00 8.17396355e+00 -3.69884562e+00
3.88081861e+00 8.38867855e+00 -3.21933436e+00
4.43522644e+00 8.46778393e+00 -2.96967649e+00
4.98962831e+00 8.57068825e+00 -2.82887697e+00
5.54402971e+00 8.71825218e+00 -2.78636026e+00
6.09843111e+00 8.77905178e+00 -2.70575762e+00
6.65283298e+00 8.79901695e+00 -2.64144874e+00
7.20724106e+00 8.80426407e+00 -2.61329389e+00
7.76164246e+00 8.79479122e+00 -2.62129354e+00
8.31604481e+00 8.77059746e+00 -2.66544700e+00
8.87044621e+00 8.73168755e+00 -2.74575472e+00
9.42484760e+00 8.66394806e+00 -2.72423601e+00
9.97925568e+00 8.63107109e+00 -2.68527174e+00
1.05336580e+01 8.62259007e+00 -2.67242098e+00
1.10880594e+01 8.61248684e+00 -2.66806698e+00
1.16424608e+01 8.60275173e+00 -2.66281509e+00
1.21968632e+01 8.59288788e+00 -2.65647364e+00
1.27512712e+01 8.57328987e+00 -2.64510846e+00
1.33056726e+01 8.56809998e+00 -2.63572526e+00
1.38600740e+01 8.58059978e+00 -2.62942910e+00
1.44144754e+01 8.59252930e+00 -2.62236190e+00
1.49688768e+01 8.60482979e+00 -2.61689043e+00
1.55232849e+01 8.61994171e+00 -2.61510777e+00
1.60776863e+01 8.63716793e+00 -2.61345029e+00
1.66320877e+01 8.63865376e+00 -2.60699892e+00
1.71864891e+01 8.63492489e+00 -2.60169172e+00
1.77408905e+01 8.63977242e+00 -2.60047674e+00
1.82952995e+01 8.63500786e+00 -2.59735727e+00
1.88497009e+01 8.62085247e+00 -2.59198904e+00
1.94041023e+01 8.64837074e+00 -2.61122370e+00
1.99585037e+01 8.67882061e+00 -2.63059044e+00
2.05129051e+01 8.70736694e+00 -2.64671063e+00
2.10673065e+01 8.70344257e+00 -2.63927150e+00
2.16217155e+01 8.70164585e+00 -2.63545609e+00
2.21761169e+01 8.69854164e+00 -2.63021159e+00
2.27305183e+01 8.69399261e+00 -2.62331057e+00
2.32849197e+01 8.69190121e+00 -2.61994338e+00
2.38393211e+01 8.69145203e+00 -2.61853647e+00
2.43937302e+01 8.69200134e+00 -2.61819029e+00
2.49481316e+01 8.69483185e+00 -2.61014509e+00
2.55025330e+01 8.69859791e+00 -2.60286307e+00
2.60569344e+01 8.70327091e+00 -2.59653807e+00
2.66113358e+01 8.70854664e+00 -2.59176826e+00
2.71657448e+01 8.70894718e+00 -2.59865880e+00
2.77201462e+01 8.70943451e+00 -2.60466623e+00
2.82745476e+01 8.70957375e+00 -2.61027336e+00
2.88289490e+01 8.70936298e+00 -2.61548042e+00
2.93833504e+01 8.70880318e+00 -2.62028718e+00
2.99377594e+01 8.70678329e+00 -2.62274098e+00
3.04921608e+01 8.69892025e+00 -2.61520863e+00
3.10465622e+01 8.69116592e+00 -2.60750580e+00
3.16009636e+01 8.68336964e+00 -2.59937572e+00
3.21553650e+01 8.67553043e+00 -2.59081841e+00
3.27097740e+01 8.68179417e+00 -2.60056114e+00
3.32641754e+01 8.68964672e+00 -2.60963893e+00
3.38185768e+01 8.69705200e+00 -2.61519837e+00
3.43729782e+01 8.70322704e+00 -2.61756325e+00
3.49273796e+01 8.70563412e+00 -2.61834431e+00
3.54817886e+01 8.70647335e+00 -2.61618423e+00
3.60361900e+01 8.70653248e+00 -2.61306262e+00
3.65905914e+01 8.70747185e+00 -2.60764265e+00
3.71449928e+01 8.71128273e+00 -2.59716296e+00
3.76993942e+01 8.71412754e+00 -2.58827662e+00
3.82538033e+01 8.70539665e+00 -2.59236646e+00
3.88082047e+01 8.70171165e+00 -2.59740686e+00
3.93626060e+01 8.70306969e+00 -2.60339832e+00
3.99170074e+01 8.70946980e+00 -2.61034060e+00
4.04714088e+01 8.71654606e+00 -2.61877918e+00
4.10258141e+01 8.72365665e+00 -2.62183547e+00
4.15802193e+01 8.72737694e+00 -2.63417006e+00
4.21346207e+01 8.72490406e+00 -2.65543270e+00
4.26890221e+01 8.71769333e+00 -2.68350101e+00
4.32434273e+01 8.70571899e+00 -2.71779943e+00
4.37978287e+01 8.68961525e+00 -2.71677494e+00
4.43522339e+01 8.67347622e+00 -2.71437526e+00
4.49066353e+01 8.65698719e+00 -2.71000457e+00
4.54610367e+01 8.62978649e+00 -2.67191291e+00
4.60154419e+01 8.66311932e+00 -2.66987514e+00
4.65698433e+01 8.68362713e+00 -2.65260220e+00
4.71242447e+01 8.69634056e+00 -2.65263391e+00
4.76786499e+01 8.70125675e+00 -2.66997075e+00
4.82330513e+01 8.70126247e+00 -2.70455456e+00
4.87874565e+01 8.71592140e+00 -2.77217102e+00
4.93418579e+01 8.69450283e+00 -2.88783193e+00
4.98962593e+01 8.63700676e+00 -3.05153751e+00
5.04506645e+01 8.54343224e+00 -3.26328921e+00
5.10050659e+01 8.41377926e+00 -3.52308464e+00
5.15594711e+01 8.24429893e+00 -3.63945270e+00
5.21138725e+01 8.30352974e+00 -3.63858199e+00
5.26682739e+01 7.90299416e+00 -4.40935135e+00
5.32226791e+01 7.53877926e+00 -5.22736216e+00
5.37770805e+01 7.19804382e+00 -6.11982870e+00
5.43314857e+01 6.88077641e+00 -7.08677101e+00
5.48858871e+01 6.58698845e+00 -8.12817097e+00
