# Integration point output from Abaqus ODB
# ODB:   G:\01_Forschung\01_Creep\00_UMAT\UMAT_CLAUDE\Schachter_3D\G1_schachter_seed5.odb
# Step:  Load
# Frame: -1
# Time:  4.800000000000e+03
#
# Columns:
# instance  elementLabel  integrationPoint  x  y  z  SDV3  SDV4
#
G1-1 1 1 -2.055216399210e+00 8.649762567805e+00 3.263868693213e+01 6.973470687866e+00 -2.270768642426e+00
G1-1 1 2 -2.103203077029e+00 8.129731583757e+00 3.052410599294e+01 6.838761329651e+00 -2.231750488281e+00
G1-1 1 3 -3.907322603544e-01 9.712209611254e+00 3.248172488961e+01 6.773158073425e+00 -2.195697069168e+00
G1-1 1 4 -2.247578492158e-02 6.944897971345e+00 3.229813584133e+01 7.536337375641e+00 -2.481063127518e+00
G1-1 2 1 -3.131340968946e+00 7.473468270560e+00 3.062106038940e+01 6.904751777649e+00 -2.256201028824e+00
G1-1 2 2 -3.083354261657e+00 7.993499254608e+00 3.273564132859e+01 7.128984451294e+00 -2.328382492065e+00
G1-1 2 3 -4.745994260760e+00 6.932233605411e+00 3.289243030374e+01 7.348785400391e+00 -2.410518646240e+00
G1-1 2 4 -1.050613647369e+00 6.288634658148e+00 3.239509023779e+01 7.683156013489e+00 -2.535052776337e+00
G1-1 3 1 1.099725977736e+00 -1.305829550090e+01 1.359856367659e+02 5.045212268829e+00 -1.581997752190e+00
G1-1 3 2 2.685900854312e+00 -1.214615677903e+01 1.360477171809e+02 5.254616737366e+00 -1.662661433220e+00
G1-1 3 3 3.642498196492e-01 -1.081634315644e+01 1.341114384441e+02 5.139072418213e+00 -1.615997552872e+00
G1-1 3 4 1.096165123053e+00 -9.740957169067e+00 1.356601789225e+02 5.247370719910e+00 -1.659614086151e+00
G1-1 4 1 1.384023263573e+00 3.682234841239e+00 3.239654036993e+01 7.809747695923e+00 -2.587120294571e+00
G1-1 4 2 2.337486499762e-01 2.177135578293e+00 3.097498188748e+01 7.773159980774e+00 -2.582001686096e+00
G1-1 4 3 2.724710695151e+00 1.733191513970e+00 3.123247380196e+01 7.627702236176e+00 -2.530759334564e+00
G1-1 4 4 1.263412719821e+00 2.235188737408e+00 3.405072386556e+01 7.765670299530e+00 -2.572242736816e+00
G1-1 5 1 3.313141883739e+00 -2.020274711133e+00 1.312246067596e+02 5.409363746643e+00 -1.724562287331e+00
G1-1 5 2 2.912268098975e+00 -5.262150452309e+00 1.309630346230e+02 5.103713989258e+00 -1.599617362022e+00
G1-1 5 3 2.580291705394e+00 -3.378073880962e+00 1.298151056827e+02 5.369468212128e+00 -1.703622221947e+00
G1-1 5 4 4.494312593165e+00 -3.852603960886e+00 1.304900507862e+02 5.039133548737e+00 -1.577477931976e+00
G1-1 6 1 1.129228206836e+01 1.352754981519e+00 9.980075253501e+00 5.153601646423e+00 -2.080001831055e+00
G1-1 6 2 1.143058642088e+01 -8.647668291672e-02 8.645081409031e+00 4.870510101318e+00 -2.304091930389e+00
G1-1 6 3 9.702095976489e+00 3.136060797013e+00 8.718249377390e+00 4.803288936615e+00 -2.534221172333e+00
G1-1 6 4 1.148009859121e+01 2.992631857849e+00 9.156843250544e+00 4.942896842957e+00 -2.069312095642e+00
G1-1 7 1 2.228841071711e+00 -5.384712778516e+00 1.322591656179e+02 5.253785133362e+00 -1.658786177635e+00
G1-1 7 2 2.496534986631e+00 -3.307048996782e+00 1.341971912829e+02 5.084321498871e+00 -1.601631402969e+00
G1-1 7 3 2.629714797536e+00 -2.142837066811e+00 1.325207302102e+02 5.080020904541e+00 -1.601088881493e+00
G1-1 7 4 9.995985216683e-01 -4.565373641407e+00 1.328945834213e+02 5.161982536316e+00 -1.626377463341e+00
G1-1 8 1 3.051066853467e+00 -4.422738408024e+00 1.352263389574e+02 5.054561138153e+00 -1.589640498161e+00
G1-1 8 2 2.783372879607e+00 -6.500402219228e+00 1.332883132925e+02 5.222415924072e+00 -1.647597312927e+00
G1-1 8 3 4.452578099049e+00 -5.889284458837e+00 1.354874061226e+02 5.039549827576e+00 -1.582181453705e+00
G1-1 8 4 2.080301477588e+00 -6.660751870088e+00 1.353165787125e+02 5.079318523407e+00 -1.595995306969e+00
G1-1 9 1 2.039882103944e+00 -1.648308238224e+00 1.370837928714e+02 4.964669227600e+00 -1.563300490379e+00
G1-1 9 2 5.885569971574e-01 -8.996602881036e-02 1.375804595450e+02 5.018594264984e+00 -1.588642835617e+00
G1-1 9 3 2.336134350272e-01 -1.691195941680e+00 1.388987488160e+02 5.022138118744e+00 -1.586685180664e+00
G1-1 9 4 2.188265663268e+00 3.225922925236e-02 1.391963066289e+02 4.941244602203e+00 -1.560639023781e+00
G1-1 10 1 1.679951423185e+00 -3.729614123774e+00 1.359028730630e+02 5.086148262024e+00 -1.603336215019e+00
G1-1 10 2 1.830149250678e-01 -4.987938797869e+00 1.346002652014e+02 5.097819328308e+00 -1.603659510612e+00
G1-1 10 3 7.091860804590e-01 -5.967627467958e+00 1.359931128181e+02 5.042334079742e+00 -1.583637237549e+00
G1-1 10 4 -1.263172973046e-01 -3.772501886171e+00 1.377178327798e+02 4.975082874298e+00 -1.563318014145e+00
G1-1 11 1 2.530410140875e+00 -1.449284525191e+00 1.290253816606e+02 5.179251194000e+00 -1.636363863945e+00
G1-1 11 2 4.802404480635e+00 7.944013808028e-01 1.292917063097e+02 5.406244277954e+00 -1.731358766556e+00
G1-1 11 3 2.342993007799e+00 1.901163741021e-01 1.280263382032e+02 5.242430686951e+00 -1.664846539497e+00
G1-1 11 4 3.263260378160e+00 -9.148528905438e-02 1.304348865097e+02 5.320360660553e+00 -1.696762084961e+00
G1-1 12 1 2.911308267518e+00 -2.211532531240e+00 1.276628395856e+02 5.519135475159e+00 -1.760406017303e+00
G1-1 12 2 2.723891193383e+00 -5.721316245794e-01 1.266637961282e+02 5.634228706360e+00 -1.807554125786e+00
G1-1 12 3 5.489902623444e+00 -1.990479713576e-01 1.263342101626e+02 5.424745082855e+00 -1.731919407845e+00
G1-1 12 4 4.570170718961e+00 -3.089218150171e+00 1.262580277197e+02 5.517518520355e+00 -1.754924297333e+00
G1-1 13 1 -1.818448579905e+00 -4.885866742540e+00 1.287720168321e+02 5.359996318817e+00 -1.693964004517e+00
G1-1 13 2 -1.920333959763e-01 -5.258614873117e+00 1.312811363356e+02 5.192600250244e+00 -1.634119153023e+00
G1-1 13 3 1.037209154067e+00 -6.077954010226e+00 1.306457185323e+02 5.261696338654e+00 -1.657678365707e+00
G1-1 13 4 7.052327310157e-01 -4.193877497820e+00 1.294977820476e+02 5.252370834351e+00 -1.655606508255e+00
G1-1 14 1 1.838776168359e+00 -4.132599616584e+00 1.273394224910e+02 5.432966232300e+00 -1.720614433289e+00
G1-1 14 2 1.378583016439e+00 -4.269459236012e+00 1.252444599018e+02 5.500683784485e+00 -1.741161465645e+00
G1-1 14 3 3.497638516656e+00 -5.010285235515e+00 1.259346125111e+02 5.561701297760e+00 -1.764202475548e+00
G1-1 14 4 1.219359607888e+00 -6.560558114496e+00 1.260601183774e+02 5.545685291290e+00 -1.754862904549e+00
G1-1 15 1 -2.526156424801e+00 -2.011025899483e+00 1.700956067287e+01 6.261343479156e+00 -2.093031167984e+00
G1-1 15 2 -4.105639222500e-01 -1.558064919424e+00 1.523567568745e+01 6.200077533722e+00 -2.187702655792e+00
G1-1 15 3 -2.384686246223e+00 -3.616160757515e+00 1.534709121062e+01 6.103877067566e+00 -2.046986341476e+00
G1-1 15 4 -2.134953866053e+00 -5.520903043753e-01 1.539993469712e+01 6.260705471039e+00 -2.203788757324e+00
G1-1 16 1 -2.273736173279e+00 -3.786454467396e+00 1.817243683255e+01 6.190311431885e+00 -2.067822933197e+00
G1-1 16 2 -2.132265994700e+00 -5.391589413839e+00 1.650996642725e+01 6.105178356171e+00 -2.052711248398e+00
G1-1 16 3 3.967480932391e-01 -4.863115299352e+00 1.803956708432e+01 6.037210464478e+00 -2.015188455582e+00
G1-1 16 4 -1.620576285673e+00 -6.543304654176e+00 1.868493845409e+01 6.000566482544e+00 -2.003388881683e+00
G1-1 17 1 -1.706089233003e+00 -1.198309340456e+00 1.870739225315e+01 6.527793884277e+00 -2.182231903076e+00
G1-1 17 2 7.775642056170e-01 -6.616509905953e-01 2.032356688609e+01 6.623205184937e+00 -2.210424184799e+00
G1-1 17 3 4.095032253431e-01 -7.453483898670e-01 1.693350656045e+01 6.478068828583e+00 -2.172039031982e+00
G1-1 17 4 -1.003276939298e+00 7.488388632252e-01 1.931341935585e+01 6.614603519440e+00 -2.208607196808e+00
G1-1 18 1 -2.360656032788e+00 -1.221075662663e+00 2.024574955735e+01 6.566450119019e+00 -2.191390752792e+00
G1-1 18 2 -2.363286234360e+00 -8.417880783351e-01 2.345009167603e+01 6.665026187897e+00 -2.216539621353e+00
G1-1 18 3 1.229974205672e-01 -6.844173128027e-01 2.186192419030e+01 6.700620651245e+00 -2.233391046524e+00
G1-1 18 4 -1.657843739082e+00 7.260725410178e-01 2.085177666006e+01 6.875577926636e+00 -2.296357870102e+00
G1-1 19 1 4.701045438398e-01 -3.585603086143e+00 2.256465790402e+01 6.475204467773e+00 -2.156700134277e+00
G1-1 19 2 -1.858315585414e+00 -2.238924178132e+00 2.065010573255e+01 6.413819313049e+00 -2.137776613235e+00
G1-1 19 3 -1.860945786986e+00 -1.859636623274e+00 2.385444832276e+01 6.708491325378e+00 -2.232777595520e+00
G1-1 19 4 6.253378826759e-01 -1.702265887212e+00 2.226628036550e+01 6.629168510437e+00 -2.208578348160e+00
G1-1 20 1 1.563274570738e-01 3.237886761910e+00 4.179612964036e+01 8.196879386902e+00 -2.709422826767e+00
G1-1 20 2 -2.077262272832e+00 3.011070580857e+00 4.205928115835e+01 8.294901847839e+00 -2.746034860611e+00
G1-1 20 3 -8.610350901472e-01 4.615746676415e+00 4.289684618065e+01 8.480996131897e+00 -2.807040929794e+00
G1-1 20 4 -1.842087834068e+00 4.956009214765e+00 3.976327417909e+01 8.489225387573e+00 -2.810331821442e+00
G1-1 21 1 9.502713285036e+00 1.603786003922e+01 5.559782376143e+01 4.043120861053e+00 -1.144807219505e+00
G1-1 21 2 1.091249023867e+01 1.432281620953e+01 5.615700206139e+01 6.164745330811e+00 -1.792640686035e+00
G1-1 21 3 1.160274051566e+01 1.597960369973e+01 5.537479017447e+01 8.516180038452e+00 -2.979906320572e+00
G1-1 21 4 1.053981238459e+01 1.716090241694e+01 5.633694665530e+01 3.912495374680e+00 -1.245639920235e+00
G1-1 22 1 2.767093068352e+00 1.947476470517e+00 4.061475609852e+01 8.177437782288e+00 -2.708677530289e+00
G1-1 22 2 5.159145556607e+00 2.280693624093e+00 3.959939943472e+01 8.345685005188e+00 -2.770555734634e+00
G1-1 22 3 3.880947560690e+00 4.820608413769e-01 3.965129548260e+01 7.840231895447e+00 -2.594427108765e+00
G1-1 22 4 2.460433614919e+00 1.772985528533e+00 3.810158771097e+01 8.091076850891e+00 -2.680457830429e+00
G1-1 23 1 3.759467861870e-01 2.758183947809e+00 4.067937625606e+01 8.197079658508e+00 -2.711485624313e+00
G1-1 23 2 -1.857642928984e+00 2.531367737286e+00 4.094252777406e+01 8.311485290527e+00 -2.753788709641e+00
G1-1 23 3 -1.622468490220e+00 4.476306282783e+00 3.864652268088e+01 8.372432708740e+00 -2.772085905075e+00
G1-1 23 4 6.928733275380e-02 2.583692946886e+00 3.816620692547e+01 8.149900436401e+00 -2.698584079742e+00
G1-1 24 1 1.808372941517e+00 1.241096491688e+00 4.101082287873e+01 8.125825881958e+00 -2.691029071808e+00
G1-1 24 2 1.097941795298e+00 -7.115799841701e-01 4.127716723673e+01 7.627860069275e+00 -2.517188787460e+00
G1-1 24 3 1.501713429143e+00 1.066605520235e+00 3.849765449119e+01 7.714860439301e+00 -2.545920848846e+00
G1-1 24 4 2.922227345445e+00 -2.243191374517e-01 4.004736320585e+01 7.469135761261e+00 -2.461395978928e+00
G1-1 25 1 -1.794097168360e+00 -4.042551297363e+00 1.071599326976e+02 7.867826938629e+00 -2.596872568130e+00
G1-1 25 2 7.614024647236e-01 -5.764965591929e+00 1.058013601953e+02 8.174898147583e+00 -2.703543186188e+00
G1-1 25 3 8.961630834966e-01 -5.734366392040e+00 1.075474743680e+02 7.988615512848e+00 -2.634233236313e+00
