 time 	 RF 
0.0000e+00 	 0.00e+00 
9.6000e+01 	 -6.56e+02 
1.9200e+02 	 -1.11e+03 
2.8800e+02 	 -1.49e+03 
3.8400e+02 	 -1.83e+03 
4.8000e+02 	 -2.14e+03 
5.7600e+02 	 -2.43e+03 
6.7200e+02 	 -2.70e+03 
7.6800e+02 	 -2.95e+03 
8.6400e+02 	 -3.19e+03 
9.6000e+02 	 -3.42e+03 
1.0560e+03 	 -3.64e+03 
1.1520e+03 	 -3.85e+03 
1.2480e+03 	 -4.05e+03 
1.3440e+03 	 -4.24e+03 
1.4400e+03 	 -4.43e+03 
1.5360e+03 	 -4.61e+03 
1.6320e+03 	 -4.78e+03 
1.7280e+03 	 -4.95e+03 
1.8240e+03 	 -5.12e+03 
1.9200e+03 	 -5.28e+03 
2.0160e+03 	 -5.43e+03 
2.1120e+03 	 -5.58e+03 
2.2080e+03 	 -5.72e+03 
2.3040e+03 	 -5.86e+03 
2.4000e+03 	 -6.00e+03 
2.4960e+03 	 -6.13e+03 
2.5920e+03 	 -6.25e+03 
2.6880e+03 	 -6.37e+03 
2.7840e+03 	 -6.49e+03 
2.8800e+03 	 -6.59e+03 
2.9760e+03 	 -6.69e+03 
3.0720e+03 	 -6.78e+03 
3.1680e+03 	 -6.85e+03 
3.2640e+03 	 -6.92e+03 
3.3600e+03 	 -6.98e+03 
3.4560e+03 	 -7.04e+03 
3.5520e+03 	 -7.09e+03 
3.6480e+03 	 -7.13e+03 
3.7440e+03 	 -7.18e+03 
3.8400e+03 	 -7.22e+03 
3.9360e+03 	 -7.26e+03 
4.0320e+03 	 -7.30e+03 
4.1280e+03 	 -7.33e+03 
4.2240e+03 	 -7.36e+03 
4.3200e+03 	 -7.39e+03 
4.4160e+03 	 -7.42e+03 
4.5120e+03 	 -7.45e+03 
4.6080e+03 	 -7.48e+03 
4.7040e+03 	 -7.50e+03 
4.8000e+03 	 -7.53e+03 
