# distance SDV3 SDV4
0.00000000e+00 1.86699990e-03 4.22653917e-04
5.54401577e-01 1.29956636e-03 4.81262454e-04
1.10880363e+00 8.85393296e-04 5.37357293e-04
1.66321158e+00 6.24474953e-04 5.90939366e-04
2.21761322e+00 5.16823260e-04 6.42006984e-04
2.77201533e+00 6.11382187e-04 6.64908672e-04
3.32641697e+00 7.33746681e-04 6.46068540e-04
3.88081861e+00 6.96283299e-04 6.34048891e-04
4.43522644e+00 6.23023952e-04 6.54176984e-04
4.98962831e+00 5.77947474e-04 6.83588791e-04
5.54402971e+00 5.40418958e-04 7.11581204e-04
6.09843111e+00 4.80166287e-04 7.26696919e-04
6.65283298e+00 3.98091215e-04 7.50640058e-04
7.20724106e+00 3.30003124e-04 7.74073997e-04
7.76164246e+00 2.65577517e-04 8.09853140e-04
8.31604481e+00 2.02618714e-04 8.55992432e-04
8.87044621e+00 1.68822997e-04 8.76541424e-04
9.42484760e+00 1.69753563e-04 8.61096603e-04
9.97925568e+00 1.30613247e-04 8.82702065e-04
1.05336580e+01 9.99333497e-05 8.97557009e-04
1.10880594e+01 8.28955308e-05 9.02106287e-04
1.16424608e+01 8.18263215e-05 8.94167402e-04
1.21968632e+01 8.08510740e-05 8.88627837e-04
1.27512712e+01 6.50628281e-05 9.00499930e-04
1.33056726e+01 4.67400278e-05 9.15221928e-04
1.38600740e+01 3.03675279e-05 9.28001362e-04
1.44144754e+01 2.00361210e-05 9.36218596e-04
1.49688768e+01 2.10788185e-05 9.37032164e-04
1.55232849e+01 2.14120555e-05 9.38320009e-04
1.60776863e+01 1.79478247e-05 9.41407576e-04
1.66320877e+01 1.28949796e-05 9.46167274e-04
1.71864891e+01 9.26632947e-06 9.50123067e-04
1.77408905e+01 7.06183300e-06 9.53274954e-04
1.82952995e+01 6.28149701e-06 9.55622643e-04
1.88497009e+01 8.37852713e-06 9.57337441e-04
1.94041023e+01 1.43268380e-05 9.57179640e-04
1.99585037e+01 1.31819952e-05 9.62420483e-04
2.05129051e+01 8.50724700e-06 9.71364614e-04
2.10673065e+01 9.48602974e-06 9.70341964e-04
2.16217155e+01 1.21353787e-05 9.64897743e-04
2.21761169e+01 1.33441754e-05 9.61209764e-04
2.27305183e+01 1.31123561e-05 9.59277910e-04
2.32849197e+01 1.25968381e-05 9.58877732e-04
2.38393211e+01 1.59077899e-05 9.58973367e-04
2.43937302e+01 1.80226016e-05 9.60376288e-04
2.49481316e+01 1.89412585e-05 9.63086262e-04
2.55025330e+01 1.77352704e-05 9.68212262e-04
2.60569344e+01 1.74037086e-05 9.70544002e-04
2.66113358e+01 1.68874758e-05 9.73342278e-04
2.71657448e+01 1.57626873e-05 9.77058313e-04
2.77201462e+01 1.74508896e-05 9.77990450e-04
2.82745476e+01 1.77836046e-05 9.78607452e-04
2.88289490e+01 2.18892437e-05 9.77595337e-04
2.93833504e+01 2.19927097e-05 9.78830038e-04
2.99377594e+01 1.91914933e-05 9.80978482e-04
3.04921608e+01 2.32473703e-05 9.82167432e-04
3.10465622e+01 2.58418295e-05 9.85320425e-04
3.16009636e+01 2.46111849e-05 9.90879373e-04
3.21553650e+01 2.01379898e-05 9.96380346e-04
3.27097740e+01 1.61823154e-05 9.93998372e-04
3.32641754e+01 1.81866981e-05 9.86644533e-04
3.38185768e+01 1.59799674e-05 9.87188658e-04
3.43729782e+01 1.27917729e-05 9.90260276e-04
3.49273796e+01 1.20249997e-05 9.88158397e-04
3.54817886e+01 1.33716003e-05 9.84814367e-04
3.60361900e+01 1.53259880e-05 9.82162659e-04
3.65905914e+01 1.78882365e-05 9.80203273e-04
3.71449928e+01 2.35336902e-05 9.81370104e-04
3.76993942e+01 2.84211728e-05 9.86482250e-04
3.82538033e+01 3.89753768e-05 9.74824012e-04
3.88082047e+01 4.84049524e-05 9.64896404e-04
3.93626060e+01 5.61539928e-05 9.58164572e-04
3.99170074e+01 5.52931087e-05 9.63319326e-04
4.04714088e+01 5.35919862e-05 9.72520560e-04
4.10258141e+01 5.42478592e-05 9.82062891e-04
4.15802193e+01 5.40878536e-05 9.89942811e-04
4.21346207e+01 6.56359043e-05 9.94364382e-04
4.26890221e+01 8.94719706e-05 9.94937611e-04
4.32434273e+01 1.12719194e-04 9.90475179e-04
4.37978287e+01 1.35892784e-04 9.81739140e-04
4.43522339e+01 1.83747979e-04 9.56700824e-04
4.49066353e+01 2.43811373e-04 9.18282138e-04
4.54610367e+01 2.90031108e-04 8.89864634e-04
4.60154419e+01 3.16824589e-04 8.76766222e-04
4.65698433e+01 3.42854095e-04 8.65000882e-04
4.71242447e+01 3.76447279e-04 8.39958782e-04
4.76786499e+01 4.14368318e-04 8.15679145e-04
4.82330513e+01 4.62875469e-04 7.97371846e-04
4.87874565e+01 5.29560726e-04 7.75543915e-04
4.93418579e+01 6.36214856e-04 7.30309985e-04
4.98962593e+01 7.80108443e-04 6.82007114e-04
5.04506645e+01 8.20391637e-04 6.65750296e-04
5.10050659e+01 8.27573007e-04 6.60130347e-04
5.15594711e+01 8.15765001e-04 6.71699003e-04
5.21138725e+01 7.84967444e-04 7.00456498e-04
5.26682739e+01 6.99194148e-04 7.11425499e-04
5.32226791e+01 6.13520097e-04 6.85007428e-04
5.37770805e+01 7.01559824e-04 5.98874583e-04
5.43314857e+01 1.15348841e-03 5.10196667e-04
5.48858871e+01 1.98394945e-03 4.23330086e-04
