# distance SDV3 SDV4
0.00000000e+00 9.74123948e-04 3.98376375e-04
5.54401577e-01 7.76180066e-04 4.43202793e-04
1.10880363e+00 6.04952569e-04 4.84361546e-04
1.66321158e+00 4.60439245e-04 5.21852984e-04
2.21761322e+00 3.42641346e-04 5.55677165e-04
2.77201533e+00 2.51559890e-04 5.85833739e-04
3.32641697e+00 1.87194310e-04 6.12322649e-04
3.88081861e+00 1.49544125e-04 6.35144126e-04
4.43522644e+00 1.38609408e-04 6.54298346e-04
4.98962831e+00 1.54390567e-04 6.69784844e-04
5.54402971e+00 1.96887224e-04 6.81603909e-04
6.09843111e+00 2.66099232e-04 6.89755485e-04
6.65283298e+00 2.65621697e-04 7.13729125e-04
7.20724106e+00 2.48712837e-04 7.42965494e-04
7.76164246e+00 2.26401229e-04 7.75247579e-04
8.31604481e+00 1.98686568e-04 8.10575904e-04
8.87044621e+00 1.65568898e-04 8.48950061e-04
9.42484760e+00 1.27048130e-04 8.90370342e-04
9.97925568e+00 8.86972848e-05 9.18074977e-04
1.05336580e+01 7.57002999e-05 9.24011343e-04
1.10880594e+01 7.61976698e-05 9.23806860e-04
1.16424608e+01 7.79725015e-05 9.23129730e-04
1.21968632e+01 8.10248166e-05 9.21979779e-04
1.27512712e+01 8.53546589e-05 9.20357357e-04
1.33056726e+01 9.09619412e-05 9.18261940e-04
1.38600740e+01 9.78467433e-05 9.15693934e-04
1.44144754e+01 8.59716456e-05 9.27911722e-04
1.49688768e+01 5.61690249e-05 9.51995316e-04
1.55232849e+01 3.48747853e-05 9.68060805e-04
1.60776863e+01 4.62785574e-05 9.61298181e-04
1.66320877e+01 5.60790722e-05 9.55645344e-04
1.71864891e+01 6.42761952e-05 9.51102586e-04
1.77408905e+01 7.08700463e-05 9.47669847e-04
1.82952995e+01 7.67224847e-05 9.44028667e-04
1.88497009e+01 8.39666172e-05 9.38091893e-04
1.94041023e+01 9.13965923e-05 9.32307215e-04
1.99585037e+01 9.90123881e-05 9.26674635e-04
2.05129051e+01 1.06814012e-04 9.21194209e-04
2.10673065e+01 1.14801449e-04 9.15865996e-04
2.16217155e+01 1.22974729e-04 9.10689821e-04
2.21761169e+01 1.31333800e-04 9.05665860e-04
2.27305183e+01 1.39878728e-04 9.00794170e-04
2.32849197e+01 1.48609470e-04 8.96074227e-04
2.38393211e+01 1.30668443e-04 9.08103597e-04
2.43937302e+01 1.14325579e-04 9.27216490e-04
2.49481316e+01 1.01445083e-04 9.46674147e-04
2.55025330e+01 8.98702274e-05 9.65144951e-04
2.60569344e+01 8.82377281e-05 9.70440218e-04
2.66113358e+01 8.86937050e-05 9.73381801e-04
2.71657448e+01 9.10566378e-05 9.74223076e-04
2.77201462e+01 9.61628102e-05 9.67371860e-04
2.82745476e+01 9.89797845e-05 9.55898606e-04
2.88289490e+01 9.72725684e-05 9.45429492e-04
2.93833504e+01 9.10411181e-05 9.35964519e-04
2.99377594e+01 8.02850773e-05 9.27503745e-04
3.04921608e+01 7.82808638e-05 9.17051977e-04
3.10465622e+01 9.29459857e-05 9.03010252e-04
3.16009636e+01 1.07030894e-04 8.89346935e-04
3.21553650e+01 1.20535566e-04 8.76061909e-04
3.27097740e+01 1.19382574e-04 8.88613809e-04
3.32641754e+01 1.16006275e-04 9.04002343e-04
3.38185768e+01 1.13727932e-04 9.16169258e-04
3.43729782e+01 1.18150187e-04 9.06823785e-04
3.49273796e+01 1.24833503e-04 8.89999734e-04
3.54817886e+01 1.31515655e-04 8.73009267e-04
3.60361900e+01 1.38196585e-04 8.55852966e-04
3.65905914e+01 1.44876292e-04 8.38530716e-04
3.71449928e+01 1.43329526e-04 8.42216250e-04
3.76993942e+01 1.33896552e-04 8.63173162e-04
3.82538033e+01 1.26455518e-04 8.82089953e-04
3.88082047e+01 1.21436176e-04 8.98196129e-04
3.93626060e+01 1.18838419e-04 9.11491865e-04
3.99170074e+01 1.18662247e-04 9.21977218e-04
4.04714088e+01 1.20907673e-04 9.29651898e-04
4.10258141e+01 1.25574777e-04 9.34516138e-04
4.15802193e+01 1.32663496e-04 9.36569879e-04
4.21346207e+01 1.46820821e-04 9.21670173e-04
4.26890221e+01 1.63385819e-04 8.99934093e-04
4.32434273e+01 1.80661154e-04 8.78144696e-04
4.37978287e+01 1.98646594e-04 8.56302155e-04
4.43522339e+01 2.17342400e-04 8.34406121e-04
4.49066353e+01 2.36748194e-04 8.12457176e-04
4.54610367e+01 2.56864238e-04 7.90455029e-04
4.60154419e+01 2.77690560e-04 7.68399448e-04
4.65698433e+01 2.98389874e-04 7.46527105e-04
4.71242447e+01 3.11092037e-04 7.25780905e-04
4.76786499e+01 3.24491702e-04 7.02635618e-04
4.82330513e+01 3.38588870e-04 6.77091477e-04
4.87874565e+01 3.52892210e-04 6.50420377e-04
4.93418579e+01 3.62580642e-04 6.35317003e-04
4.98962593e+01 3.71591363e-04 6.21755200e-04
5.04506645e+01 3.79924284e-04 6.09734561e-04
5.10050659e+01 3.51518625e-04 6.52724062e-04
5.15594711e+01 3.48723901e-04 6.82670157e-04
5.21138725e+01 3.76408774e-04 6.93480484e-04
5.26682739e+01 4.34573391e-04 6.85154926e-04
5.32226791e+01 5.23218303e-04 6.57692959e-04
5.37770805e+01 6.42342609e-04 6.11095456e-04
5.43314857e+01 7.91947590e-04 5.45361545e-04
5.48858871e+01 9.72031266e-04 4.60492301e-04
