# distance x y z SDV3 SDV4 distance_to_nearest_IP instance element_label integration_point
2.41425603e+01 -1.12500000e+01 -2.92871912e+00 7.70726885e+01 9.02753639e+00 -1.98252535e+00 1.30765710e+00 G1-1 32989 1
2.47314033e+01 -1.12500000e+01 -2.63429763e+00 7.65627356e+01 8.90214920e+00 -2.27171183e+00 1.55135273e+00 G1-1 31091 1
2.53202462e+01 -1.12500000e+01 -2.33987615e+00 7.60527827e+01 9.02818108e+00 -1.97931218e+00 1.17713629e+00 G1-1 31969 1
2.59090891e+01 -1.12500000e+01 -2.04545466e+00 7.55428297e+01 9.02818108e+00 -1.97931218e+00 8.02703786e-01 G1-1 31969 1
2.64979321e+01 -1.12500000e+01 -1.75103318e+00 7.50328768e+01 9.02818108e+00 -1.97931218e+00 7.72326942e-01 G1-1 31969 1
2.70867750e+01 -1.12500000e+01 -1.45661169e+00 7.45229239e+01 9.02818108e+00 -1.97931218e+00 1.11450278e+00 G1-1 31969 1
2.76756179e+01 -1.12500000e+01 -1.16219021e+00 7.40129709e+01 6.62133646e+00 -1.78750467e+00 1.41694999e+00 G1-1 18514 1
2.82644609e+01 -1.12500000e+01 -8.67768721e-01 7.35030180e+01 8.97379971e+00 -2.13178754e+00 1.37754076e+00 G1-1 30243 1
2.88533038e+01 -1.12500000e+01 -5.73347236e-01 7.29930651e+01 8.84480953e+00 -2.36085653e+00 1.19237343e+00 G1-1 25212 1
2.94421468e+01 -1.12500000e+01 -2.78925751e-01 7.24831121e+01 5.87265873e+00 -1.31554270e+00 1.09301417e+00 G1-1 23368 1
3.00309897e+01 -1.12500000e+01 1.54957338e-02 7.19731592e+01 5.87265873e+00 -1.31554270e+00 9.35454875e-01 G1-1 23368 1
3.06198326e+01 -1.12500000e+01 3.09917219e-01 7.14632063e+01 5.87265873e+00 -1.31554270e+00 1.11756148e+00 G1-1 23368 1
3.12086756e+01 -1.12500000e+01 6.04338704e-01 7.09532534e+01 5.03068304e+00 -1.23551881e+00 1.38849705e+00 G1-1 18556 1
3.17975185e+01 -1.12500000e+01 8.98760189e-01 7.04433004e+01 8.40387630e+00 -2.51354694e+00 1.06595058e+00 G1-1 18516 1
3.23863614e+01 -1.12500000e+01 1.19318167e+00 6.99333475e+01 8.40387630e+00 -2.51354694e+00 9.38358379e-01 G1-1 18516 1
3.29752044e+01 -1.12500000e+01 1.48760316e+00 6.94233946e+01 8.40387630e+00 -2.51354694e+00 1.14815255e+00 G1-1 18516 1
3.35640473e+01 -1.12500000e+01 1.78202464e+00 6.89134416e+01 8.40387630e+00 -2.51354694e+00 1.56507639e+00 G1-1 18516 1
3.41528902e+01 -1.12500000e+01 2.07644613e+00 6.84034887e+01 9.11403561e+00 -1.86561275e+00 1.43147835e+00 G1-1 52852 1
3.47417332e+01 -1.12500000e+01 2.37086761e+00 6.78935358e+01 9.11403561e+00 -1.86561275e+00 1.19536742e+00 G1-1 52852 1
3.53305761e+01 -1.12500000e+01 2.66528910e+00 6.73835828e+01 7.19152737e+00 -2.10181427e+00 1.03669124e+00 G1-1 18550 1
3.59194190e+01 -1.12500000e+01 2.95971058e+00 6.68736299e+01 7.19152737e+00 -2.10181427e+00 1.06025990e+00 G1-1 18550 1
3.65082620e+01 -1.12500000e+01 3.25413207e+00 6.63636770e+01 7.19152737e+00 -2.10181427e+00 1.36639870e+00 G1-1 18550 1
3.70971049e+01 -1.12500000e+01 3.54855355e+00 6.58537240e+01 9.03759098e+00 -2.06584859e+00 1.51588159e+00 G1-1 56290 1
3.76859478e+01 -1.12500000e+01 3.84297504e+00 6.53437711e+01 9.03759098e+00 -2.06584859e+00 1.21668292e+00 G1-1 56290 1
3.82747908e+01 -1.12500000e+01 4.13739652e+00 6.48338182e+01 8.01742935e+00 -2.48339844e+00 1.09015587e+00 G1-1 18607 1
3.88636337e+01 -1.12500000e+01 4.43181801e+00 6.43238653e+01 8.01742935e+00 -2.48339844e+00 1.02745128e+00 G1-1 18607 1
3.94524766e+01 -1.12500000e+01 4.72623949e+00 6.38139123e+01 8.01742935e+00 -2.48339844e+00 1.27135536e+00 G1-1 18607 1
4.00413196e+01 -1.12500000e+01 5.02066098e+00 6.33039594e+01 8.01742935e+00 -2.48339844e+00 1.69425641e+00 G1-1 18607 1
4.06301625e+01 -1.12500000e+01 5.31508246e+00 6.27940065e+01 9.01381302e+00 -2.11227107e+00 1.29064855e+00 G1-1 16762 1
4.12190055e+01 -1.12500000e+01 5.60950395e+00 6.22840535e+01 9.01381302e+00 -2.11227107e+00 1.04572801e+00 G1-1 16762 1
4.18078484e+01 -1.12500000e+01 5.90392543e+00 6.17741006e+01 7.73160362e+00 -2.43069553e+00 1.09640653e+00 G1-1 9100 1
4.23966913e+01 -1.12500000e+01 6.19834692e+00 6.12641477e+01 7.73160362e+00 -2.43069553e+00 9.83145785e-01 G1-1 9100 1
4.29855343e+01 -1.12500000e+01 6.49276840e+00 6.07541947e+01 7.73160362e+00 -2.43069553e+00 1.19353089e+00 G1-1 9100 1
4.35743772e+01 -1.12500000e+01 6.78718989e+00 6.02442418e+01 7.15173578e+00 -2.29756284e+00 1.41942422e+00 G1-1 23223 1
4.41632201e+01 -1.12500000e+01 7.08161137e+00 5.97342889e+01 4.24783564e+00 -9.71166790e-01 1.07304173e+00 G1-1 17521 1
4.47520631e+01 -1.12500000e+01 7.37603286e+00 5.92243359e+01 4.24783564e+00 -9.71166790e-01 9.89828082e-01 G1-1 17521 1
4.53409060e+01 -1.12500000e+01 7.67045434e+00 5.87143830e+01 4.24783564e+00 -9.71166790e-01 1.22538676e+00 G1-1 17521 1
4.59297489e+01 -1.12500000e+01 7.96487583e+00 5.82044301e+01 8.64181614e+00 -2.83836174e+00 1.58296291e+00 G1-1 32981 1
4.65185919e+01 -1.12500000e+01 8.25929731e+00 5.76944772e+01 5.32191420e+00 -1.65236950e+00 1.51365463e+00 G1-1 23287 1
4.71074348e+01 -1.12500000e+01 8.55371880e+00 5.71845242e+01 6.27394772e+00 -1.97231209e+00 1.19036938e+00 G1-1 18635 1
4.76962777e+01 -1.12500000e+01 8.84814028e+00 5.66745713e+01 8.62884140e+00 -2.84748983e+00 1.04553724e+00 G1-1 28810 1
4.82851207e+01 -1.12500000e+01 9.14256177e+00 5.61646184e+01 8.62884140e+00 -2.84748983e+00 1.10211166e+00 G1-1 28810 1
4.88739636e+01 -1.12500000e+01 9.43698325e+00 5.56546654e+01 9.11234760e+00 -2.25626969e+00 1.42282407e+00 G1-1 24571 1
4.94628065e+01 -1.12500000e+01 9.73140474e+00 5.51447125e+01 8.59125710e+00 -2.89656687e+00 1.61737662e+00 G1-1 33571 1
5.00516495e+01 -1.12500000e+01 1.00258262e+01 5.46347596e+01 8.59125710e+00 -2.89656687e+00 1.21078607e+00 G1-1 33571 1
5.06404924e+01 -1.12500000e+01 1.03202477e+01 5.41248066e+01 8.59125710e+00 -2.89656687e+00 1.00477395e+00 G1-1 33571 1
5.12293353e+01 -1.12500000e+01 1.06146692e+01 5.36148537e+01 8.09255695e+00 -3.35355282e+00 9.96595388e-01 G1-1 22744 1
5.18181783e+01 -1.12500000e+01 1.09090907e+01 5.31049008e+01 8.09255695e+00 -3.35355282e+00 1.02407219e+00 G1-1 22744 1
5.24070212e+01 -1.12500000e+01 1.12035122e+01 5.25949479e+01 8.09255695e+00 -3.35355282e+00 1.34078982e+00 G1-1 22744 1
5.29958642e+01 -1.12500000e+01 1.14979336e+01 5.20849949e+01 7.51708984e+00 -3.12689042e+00 1.24233701e+00 G1-1 22663 1
5.35847071e+01 -1.12500000e+01 1.17923551e+01 5.15750420e+01 7.51708984e+00 -3.12689042e+00 9.84541638e-01 G1-1 22663 1
5.41735500e+01 -1.12500000e+01 1.20867766e+01 5.10650891e+01 7.51708984e+00 -3.12689042e+00 1.04341518e+00 G1-1 22663 1
5.47623930e+01 -1.12500000e+01 1.23811981e+01 5.05551361e+01 7.51708984e+00 -3.12689042e+00 1.37897797e+00 G1-1 22663 1
5.53512359e+01 -1.12500000e+01 1.26756196e+01 5.00451832e+01 8.33317089e+00 -3.35642195e+00 1.33397415e+00 G1-1 49501 1
5.59400788e+01 -1.12500000e+01 1.29700411e+01 4.95352303e+01 8.33317089e+00 -3.35642195e+00 1.01789094e+00 G1-1 49501 1
5.65289218e+01 -1.12500000e+01 1.32644626e+01 4.90252773e+01 8.33317089e+00 -3.35642195e+00 9.93070440e-01 G1-1 49501 1
5.71177647e+01 -1.12500000e+01 1.35588840e+01 4.85153244e+01 8.48595524e+00 -3.03457522e+00 9.52147445e-01 G1-1 23641 1
5.77066076e+01 -1.12500000e+01 1.38533055e+01 4.80053715e+01 8.48595524e+00 -3.03457522e+00 1.18053345e+00 G1-1 23641 1
5.82954506e+01 -1.12500000e+01 1.41477270e+01 4.74954185e+01 8.48595524e+00 -3.03457522e+00 1.60443315e+00 G1-1 23641 1
