# distance SDV3 SDV4
0.00000000e+00 1.75149972e-03 4.61481453e-04
5.54401577e-01 1.41302648e-03 4.95330954e-04
1.10880363e+00 1.13316823e-03 5.23816969e-04
1.66321158e+00 9.11926269e-04 5.46939322e-04
2.21761322e+00 7.49304309e-04 5.64697664e-04
2.77201533e+00 6.45301363e-04 5.77091996e-04
3.32641697e+00 5.99915162e-04 5.84122667e-04
3.88081861e+00 6.13146462e-04 5.85789618e-04
4.43522644e+00 5.92047581e-04 6.20063511e-04
4.98962831e+00 5.56687766e-04 6.56578806e-04
5.54402971e+00 5.13708510e-04 6.89750654e-04
6.09843111e+00 4.62820986e-04 7.20110256e-04
6.65283298e+00 4.11560672e-04 7.53419765e-04
7.20724106e+00 3.64451727e-04 7.92624895e-04
7.76164246e+00 2.87134259e-04 8.38831824e-04
8.31604481e+00 2.18270798e-04 8.76422331e-04
8.87044621e+00 1.69099207e-04 8.94485798e-04
9.42484760e+00 1.35942479e-04 9.00273619e-04
9.97925568e+00 1.03884689e-04 9.18403617e-04
1.05336580e+01 6.41069928e-05 9.48671717e-04
1.10880594e+01 4.15603972e-05 9.53451497e-04
1.16424608e+01 3.08248200e-05 9.51078662e-04
1.21968632e+01 3.12459233e-05 9.42645711e-04
1.27512712e+01 3.60268023e-05 9.33039468e-04
1.33056726e+01 3.61851999e-05 9.28039663e-04
1.38600740e+01 3.37588499e-05 9.26761189e-04
1.44144754e+01 2.16602548e-05 9.36707715e-04
1.49688768e+01 1.12902089e-05 9.46921355e-04
1.55232849e+01 7.87944373e-06 9.52212082e-04
1.60776863e+01 6.51591472e-06 9.56257398e-04
1.66320877e+01 9.25576387e-06 9.54198651e-04
1.71864891e+01 1.02436752e-05 9.53633105e-04
1.77408905e+01 9.66035259e-06 9.54403891e-04
1.82952995e+01 7.50569598e-06 9.56511241e-04
1.88497009e+01 7.16902696e-06 9.58156481e-04
1.94041023e+01 1.00745510e-05 9.58841993e-04
1.99585037e+01 1.15436351e-05 9.60144040e-04
2.05129051e+01 1.43116231e-05 9.59846016e-04
2.10673065e+01 1.90023729e-05 9.56682255e-04
2.16217155e+01 2.44000748e-05 9.51496069e-04
2.21761169e+01 2.49107088e-05 9.54222400e-04
2.27305183e+01 2.27542860e-05 9.62343998e-04
2.32849197e+01 2.04093121e-05 9.70869791e-04
2.38393211e+01 1.77661968e-05 9.79983131e-04
2.43937302e+01 1.64450248e-05 9.86384926e-04
2.49481316e+01 2.01269904e-05 9.83138336e-04
2.55025330e+01 2.01561161e-05 9.87926149e-04
2.60569344e+01 1.62312590e-05 9.89035587e-04
2.66113358e+01 1.00603347e-05 9.98238800e-04
2.71657448e+01 5.45983039e-06 1.00636424e-03
2.77201462e+01 6.44468946e-06 1.00470777e-03
2.82745476e+01 1.11403497e-05 9.94517235e-04
2.88289490e+01 1.46243347e-05 9.86449770e-04
2.93833504e+01 2.10967628e-05 9.82951839e-04
2.99377594e+01 2.71373956e-05 9.79083707e-04
3.04921608e+01 3.22478481e-05 9.74961789e-04
3.10465622e+01 2.38461307e-05 9.84196435e-04
3.16009636e+01 1.84457240e-05 9.87982028e-04
3.21553650e+01 1.60282871e-05 9.89110442e-04
3.27097740e+01 1.64040521e-05 9.88583313e-04
3.32641754e+01 1.65380679e-05 9.87809268e-04
3.38185768e+01 2.06620989e-05 9.85092483e-04
3.43729782e+01 2.20881138e-05 9.83901671e-04
3.49273796e+01 1.94804034e-05 9.85817751e-04
3.54817886e+01 1.42788385e-05 9.89893801e-04
3.60361900e+01 1.15365192e-05 9.92176356e-04
3.65905914e+01 1.12048110e-05 9.94737726e-04
3.71449928e+01 9.46838009e-06 9.96099552e-04
3.76993942e+01 8.54803784e-06 9.97668714e-04
3.82538033e+01 1.37911084e-05 9.99268610e-04
3.88082047e+01 1.93117194e-05 9.96325864e-04
3.93626060e+01 2.29517373e-05 9.95863229e-04
3.99170074e+01 2.27210057e-05 9.98540781e-04
4.04714088e+01 2.25148233e-05 1.00145023e-03
4.10258141e+01 2.80062668e-05 1.00203615e-03
4.15802193e+01 4.44488178e-05 9.92483459e-04
4.21346207e+01 6.07830953e-05 9.84003767e-04
4.26890221e+01 7.36545044e-05 9.79580800e-04
4.32434273e+01 1.02597587e-04 9.69514193e-04
4.37978287e+01 1.41773591e-04 9.55726602e-04
4.43522339e+01 1.94793989e-04 9.32534691e-04
4.49066353e+01 2.60710978e-04 9.00924962e-04
4.54610367e+01 3.29108967e-04 8.66663002e-04
4.60154419e+01 3.75267322e-04 8.56189174e-04
4.65698433e+01 4.49093815e-04 8.26224335e-04
4.71242447e+01 5.12969156e-04 7.98972789e-04
4.76786499e+01 5.66894654e-04 7.74433836e-04
4.82330513e+01 6.10868097e-04 7.52608408e-04
4.87874565e+01 6.44890941e-04 7.33496039e-04
4.93418579e+01 6.76309923e-04 6.83758699e-04
4.98962593e+01 7.29299674e-04 6.34898490e-04
5.04506645e+01 7.74339831e-04 5.90702170e-04
5.10050659e+01 8.29225290e-04 5.75625105e-04
5.15594711e+01 9.11452167e-04 6.10779505e-04
5.21138725e+01 9.05750378e-04 6.37978432e-04
5.26682739e+01 8.86333932e-04 5.92087279e-04
5.32226791e+01 8.79246916e-04 5.69066091e-04
5.37770805e+01 1.06849102e-03 5.42082067e-04
5.43314857e+01 1.46723224e-03 4.96198190e-04
5.48858871e+01 2.07546516e-03 4.31414956e-04
