 time 	 RF 
0.0000e+00 	 0.00e+00 
9.6000e+01 	 -6.64e+02 
1.9200e+02 	 -1.13e+03 
2.8800e+02 	 -1.52e+03 
3.8400e+02 	 -1.86e+03 
4.8000e+02 	 -2.18e+03 
5.7600e+02 	 -2.47e+03 
6.7200e+02 	 -2.74e+03 
7.6800e+02 	 -3.00e+03 
8.6400e+02 	 -3.24e+03 
9.6000e+02 	 -3.47e+03 
1.0560e+03 	 -3.69e+03 
1.1520e+03 	 -3.90e+03 
1.2480e+03 	 -4.10e+03 
1.3440e+03 	 -4.29e+03 
1.4400e+03 	 -4.47e+03 
1.5360e+03 	 -4.65e+03 
1.6320e+03 	 -4.82e+03 
1.7280e+03 	 -4.98e+03 
1.8240e+03 	 -5.13e+03 
1.9200e+03 	 -5.28e+03 
2.0160e+03 	 -5.43e+03 
2.1120e+03 	 -5.57e+03 
2.2080e+03 	 -5.70e+03 
2.3040e+03 	 -5.84e+03 
2.4000e+03 	 -5.96e+03 
2.4960e+03 	 -6.08e+03 
2.5920e+03 	 -6.20e+03 
2.6880e+03 	 -6.31e+03 
2.7840e+03 	 -6.42e+03 
2.8800e+03 	 -6.52e+03 
2.9760e+03 	 -6.61e+03 
3.0720e+03 	 -6.70e+03 
3.1680e+03 	 -6.79e+03 
3.2640e+03 	 -6.86e+03 
3.3600e+03 	 -6.94e+03 
3.4560e+03 	 -7.01e+03 
3.5520e+03 	 -7.07e+03 
3.6480e+03 	 -7.14e+03 
3.7440e+03 	 -7.19e+03 
3.8400e+03 	 -7.25e+03 
3.9360e+03 	 -7.30e+03 
4.0320e+03 	 -7.35e+03 
4.1280e+03 	 -7.40e+03 
4.2240e+03 	 -7.44e+03 
4.3200e+03 	 -7.48e+03 
4.4160e+03 	 -7.52e+03 
4.5120e+03 	 -7.56e+03 
4.6080e+03 	 -7.59e+03 
4.7040e+03 	 -7.63e+03 
4.8000e+03 	 -7.66e+03 
