# distance SDV3 SDV4
0.00000000e+00 9.27723312e+00 -5.47299480e+00
5.54401577e-01 9.09140205e+00 -4.25147247e+00
1.10880363e+00 8.99204636e+00 -3.32805777e+00
1.66321158e+00 8.97916698e+00 -2.70275664e+00
2.21761322e+00 9.05276203e+00 -2.37556601e+00
2.77201533e+00 9.21283245e+00 -2.34648442e+00
3.32641697e+00 9.36133194e+00 -2.43233562e+00
3.88081861e+00 9.40909290e+00 -2.44259882e+00
4.43522644e+00 9.40555286e+00 -2.40662980e+00
4.98962831e+00 9.35071564e+00 -2.32442474e+00
5.54402971e+00 9.24457836e+00 -2.19598675e+00
6.09843111e+00 9.08714390e+00 -2.02131629e+00
6.65283298e+00 9.27123737e+00 -1.95849395e+00
7.20724106e+00 9.48157978e+00 -1.98708165e+00
7.76164246e+00 9.55434227e+00 -1.97813034e+00
8.31604481e+00 9.48952675e+00 -1.93164253e+00
8.87044621e+00 9.28713608e+00 -1.84761953e+00
9.42484760e+00 9.18689251e+00 -1.71339059e+00
9.97925568e+00 9.09506607e+00 -1.57427049e+00
1.05336580e+01 8.97002506e+00 -1.52013981e+00
1.10880594e+01 8.92294788e+00 -1.52172256e+00
1.16424608e+01 8.95383453e+00 -1.57901883e+00
1.21968632e+01 9.06268501e+00 -1.69202828e+00
1.27512712e+01 9.17617893e+00 -1.51702535e+00
1.33056726e+01 9.21452236e+00 -1.42010820e+00
1.38600740e+01 9.22413540e+00 -1.38767719e+00
1.44144754e+01 9.22861385e+00 -1.38811707e+00
1.49688768e+01 9.22795963e+00 -1.42142785e+00
1.55232849e+01 9.25382710e+00 -1.39461398e+00
1.60776863e+01 9.31503963e+00 -1.31794786e+00
1.66320877e+01 9.43596649e+00 -1.35224211e+00
1.71864891e+01 9.48844337e+00 -1.37948835e+00
1.77408905e+01 9.46025658e+00 -1.38721311e+00
1.82952995e+01 9.35140324e+00 -1.37541640e+00
1.88497009e+01 9.47412109e+00 -1.38840127e+00
1.94041023e+01 9.39216328e+00 -1.29675055e+00
1.99585037e+01 9.55434704e+00 -1.50769413e+00
2.05129051e+01 9.58135605e+00 -1.54826474e+00
2.10673065e+01 9.47318649e+00 -1.41846061e+00
2.16217155e+01 9.42375660e+00 -1.29743063e+00
2.21761169e+01 9.46231937e+00 -1.27997148e+00
2.27305183e+01 9.44295788e+00 -1.25847137e+00
2.32849197e+01 9.47721672e+00 -1.32502019e+00
2.38393211e+01 9.45656490e+00 -1.35119522e+00
2.43937302e+01 9.38099861e+00 -1.33699608e+00
2.49481316e+01 9.53519726e+00 -1.40146542e+00
2.55025330e+01 9.50681877e+00 -1.35229719e+00
2.60569344e+01 9.44054222e+00 -1.28079498e+00
2.66113358e+01 9.48244190e+00 -1.28907990e+00
2.71657448e+01 9.46088409e+00 -1.27297676e+00
2.77201462e+01 9.42401886e+00 -1.25593066e+00
2.82745476e+01 9.42156792e+00 -1.25246334e+00
2.88289490e+01 9.42196083e+00 -1.24397278e+00
2.93833504e+01 9.38321495e+00 -1.23310506e+00
2.99377594e+01 9.34182549e+00 -1.26070166e+00
3.04921608e+01 9.33338356e+00 -1.33570373e+00
3.10465622e+01 9.39405632e+00 -1.36369407e+00
3.16009636e+01 9.39788342e+00 -1.36375487e+00
3.21553650e+01 9.34486580e+00 -1.33588600e+00
3.27097740e+01 9.36949348e+00 -1.46767366e+00
3.32641754e+01 9.36112022e+00 -1.57282257e+00
3.38185768e+01 9.50417042e+00 -1.66234088e+00
3.43729782e+01 9.69222927e+00 -1.69463634e+00
3.49273796e+01 9.66169167e+00 -1.57959843e+00
3.54817886e+01 9.41255188e+00 -1.31722212e+00
3.60361900e+01 9.39485550e+00 -1.33601999e+00
3.65905914e+01 9.35642338e+00 -1.34241295e+00
3.71449928e+01 9.57963276e+00 -1.48921227e+00
3.76993942e+01 9.65526009e+00 -1.53468585e+00
3.82538033e+01 9.58330250e+00 -1.47882938e+00
3.88082047e+01 9.40610123e+00 -1.36647975e+00
3.93626060e+01 9.40269566e+00 -1.48460054e+00
3.99170074e+01 9.41245365e+00 -1.54272795e+00
4.04714088e+01 9.47848511e+00 -1.58245432e+00
4.10258141e+01 9.46133232e+00 -1.56846988e+00
4.15802193e+01 9.36099815e+00 -1.50077462e+00
4.21346207e+01 9.16586304e+00 -1.46992469e+00
4.26890221e+01 9.09691620e+00 -1.71301854e+00
4.32434273e+01 8.58053303e+00 -1.37564933e+00
4.37978287e+01 8.36043549e+00 -1.20772314e+00
4.43522339e+01 8.43662262e+00 -1.20923686e+00
4.49066353e+01 8.80908585e+00 -1.38019049e+00
4.54610367e+01 9.12297249e+00 -1.61391926e+00
4.60154419e+01 9.29263878e+00 -1.81831241e+00
4.65698433e+01 9.57700920e+00 -2.01314759e+00
4.71242447e+01 9.64861298e+00 -2.09771323e+00
4.76786499e+01 9.50745201e+00 -2.07200742e+00
4.82330513e+01 9.15352535e+00 -1.93603349e+00
4.87874565e+01 8.88793564e+00 -1.93870115e+00
4.93418579e+01 9.10848141e+00 -2.01758385e+00
4.98962593e+01 9.27324104e+00 -2.14007235e+00
